,open,high,low,close,volume
2022-02-27 06:49:00,38726.25,38736.66,38720.0,38720.0,13.16097
2022-02-27 06:50:00,38720.0,38720.01,38702.48,38706.27,7.66326
2022-02-27 06:51:00,38706.27,38722.6,38703.66,38718.18,8.63997
2022-02-27 06:52:00,38718.17,38718.18,38700.95,38709.68,19.54128
2022-02-27 06:53:00,38709.67,38731.97,38709.41,38718.92,13.30897
2022-02-27 06:54:00,38718.93,38728.01,38705.82,38727.8,4.4991
2022-02-27 06:55:00,38727.8,38799.0,38718.13,38789.04,68.82472
2022-02-27 06:56:00,38787.74,38875.99,38765.75,38818.37,77.70622
2022-02-27 06:57:00,38818.38,38818.38,38780.85,38780.86,25.52331
2022-02-27 06:58:00,38780.86,38796.51,38761.29,38761.81,15.35289
2022-02-27 07:00:00,38773.23,38804.85,38773.23,38804.85,12.22799
2022-02-27 07:01:00,38804.84,38833.04,38804.7,38831.1,12.07263
2022-02-27 07:02:00,38831.1,38850.0,38825.36,38833.59,21.13773
2022-02-27 07:03:00,38833.58,38833.59,38822.32,38822.48,5.08503
2022-02-27 07:04:00,38822.48,38824.02,38798.34,38812.6,11.27577
2022-02-27 07:05:00,38812.6,38821.54,38803.48,38803.48,9.61599
2022-02-27 07:06:00,38803.48,38803.49,38790.0,38790.01,3.88111
2022-02-27 07:07:00,38790.01,38797.98,38758.07,38766.41,16.60666
2022-02-27 07:08:00,38766.42,38776.2,38746.4,38766.42,14.52227
2022-02-27 07:09:00,38766.42,38766.43,38754.43,38764.29,10.0936
2022-02-27 07:11:00,38791.34,38791.35,38775.03,38775.03,10.52565
2022-02-27 07:12:00,38775.04,38785.68,38762.19,38762.2,10.93909
2022-02-27 07:13:00,38762.19,38762.2,38742.6,38755.94,15.92209
2022-02-27 07:14:00,38755.95,38782.69,38755.94,38781.18,5.24614
2022-02-27 07:15:00,38781.19,38784.68,38770.0,38774.0,11.09508
2022-02-27 07:16:00,38774.01,38785.74,38772.22,38782.0,7.64819
2022-02-27 07:17:00,38782.0,38782.45,38776.09,38779.18,15.54127
2022-02-27 07:18:00,38779.18,38782.45,38777.59,38782.45,4.79083
2022-02-27 07:19:00,38782.45,38821.04,38782.44,38809.85,16.08929
2022-02-27 07:20:00,38809.84,38828.76,38809.84,38825.8,8.50044
2022-02-27 07:22:00,38824.35,38832.5,38820.46,38830.75,9.57462
2022-02-27 07:23:00,38830.75,38842.5,38830.75,38830.84,8.26253
2022-02-27 07:24:00,38830.84,38860.11,38828.85,38860.1,9.1451
2022-02-27 07:25:00,38860.11,38867.91,38833.09,38834.89,12.8495
2022-02-27 07:26:00,38834.88,38842.75,38828.86,38828.86,13.89507
2022-02-27 07:27:00,38828.87,38829.04,38815.46,38817.0,7.40356
2022-02-27 07:28:00,38817.0,38828.08,38804.21,38806.38,13.01921
2022-02-27 07:29:00,38806.38,38809.82,38798.36,38808.59,10.63227
2022-02-27 07:30:00,38808.58,38811.93,38792.62,38798.88,11.70688
2022-02-27 07:31:00,38798.88,38798.88,38777.36,38789.41,14.94464
2022-02-27 07:33:00,38781.71,38812.47,38781.7,38812.46,5.70478
2022-02-27 07:34:00,38812.47,38841.51,38810.64,38841.51,10.14908
2022-02-27 07:35:00,38841.51,38845.39,38833.13,38843.21,19.61175
2022-02-27 07:36:00,38844.92,38855.1,38844.91,38849.22,3.5473
2022-02-27 07:37:00,38849.22,38857.99,38826.86,38832.13,13.34641
2022-02-27 07:38:00,38832.13,38856.9,38832.13,38856.9,12.18145
2022-02-27 07:39:00,38856.89,38856.9,38841.24,38846.74,9.38751
2022-02-27 07:40:00,38846.74,38852.85,38841.56,38841.58,3.76324
2022-02-27 07:41:00,38841.57,38841.58,38827.09,38829.58,15.95818
2022-02-27 07:42:00,38829.58,38840.48,38821.04,38837.13,19.53731
2022-02-27 07:44:00,38827.36,38841.25,38820.52,38840.73,5.65441
2022-02-27 07:45:00,38840.73,38841.0,38826.51,38828.59,7.9909
2022-02-27 07:46:00,38828.6,38828.6,38818.48,38819.37,23.99417
2022-02-27 07:47:00,38819.36,38820.87,38798.87,38798.87,39.80176
2022-02-27 07:48:00,38798.87,38798.88,38779.45,38781.05,15.0623
2022-02-27 07:49:00,38781.05,38786.21,38773.98,38774.76,10.43886
2022-02-27 07:50:00,38774.75,38796.24,38770.67,38770.68,14.62544
2022-02-27 07:51:00,38770.67,38794.42,38756.34,38794.42,8.79435
2022-02-27 07:52:00,38794.42,38794.42,38780.27,38781.17,3.61012
2022-02-27 07:53:00,38781.17,38785.73,38781.16,38781.16,2.37515
2022-02-27 07:55:00,38784.38,38785.71,38777.91,38781.8,3.88873
2022-02-27 07:56:00,38781.81,38799.88,38781.8,38793.27,7.39951
2022-02-27 07:57:00,38793.26,38811.42,38788.45,38811.41,6.80469
2022-02-27 07:58:00,38811.42,38811.42,38785.78,38785.78,11.49333
2022-02-27 07:59:00,38785.79,38798.33,38785.78,38790.93,4.73663
2022-02-27 08:00:00,38790.92,38814.44,38786.36,38812.1,14.25388
2022-02-27 08:01:00,38812.11,38823.24,38811.96,38823.24,7.10936
2022-02-27 08:02:00,38823.23,38828.94,38791.85,38801.01,16.83078
2022-02-27 08:03:00,38801.0,38801.97,38790.4,38790.4,6.66805
2022-02-27 08:04:00,38790.4,38801.69,38790.4,38792.05,15.23691
2022-02-27 08:06:00,38785.79,38785.79,38779.12,38779.36,7.63672
2022-02-27 08:07:00,38779.36,38779.36,38721.76,38721.76,26.20505
2022-02-27 08:08:00,38721.77,38745.37,38715.94,38715.95,23.05343
2022-02-27 08:09:00,38715.95,38735.04,38709.86,38727.87,17.86785
2022-02-27 08:10:00,38727.86,38736.41,38714.43,38716.88,15.30587
2022-02-27 08:11:00,38716.89,38744.18,38716.88,38730.49,20.51477
2022-02-27 08:12:00,38730.49,38748.79,38730.48,38739.92,7.01066
2022-02-27 08:13:00,38739.92,38751.14,38739.92,38750.0,5.88608
2022-02-27 08:14:00,38750.0,38750.01,38741.12,38744.0,5.23509
2022-02-27 08:15:00,38744.01,38747.87,38739.92,38741.27,3.23645
2022-02-27 08:17:00,38724.69,38732.44,38688.51,38689.04,20.91957
2022-02-27 08:18:00,38689.04,38695.05,38653.06,38691.69,37.90721
2022-02-27 08:19:00,38691.68,38691.69,38656.47,38685.79,26.34967
2022-02-27 08:20:00,38685.8,38699.09,38685.79,38693.11,7.06072
2022-02-27 08:21:00,38693.11,38715.94,38693.1,38705.28,9.38246
2022-02-27 08:22:00,38705.27,38706.16,38691.06,38691.06,7.75726
2022-02-27 08:23:00,38691.06,38702.78,38675.13,38675.13,12.027
2022-02-27 08:24:00,38675.14,38700.0,38675.13,38700.0,4.93584
2022-02-27 08:25:00,38700.0,38702.06,38695.11,38701.89,3.89769
2022-02-27 08:26:00,38701.89,38731.62,38701.89,38731.16,8.4342
