,open,high,low,close,volume
2022-03-01 23:59:00,44392.4,44423.47,44392.4,44421.2,13.90546
2022-03-02,44421.2,44450.98,44378.84,44382.0,49.72913
2022-03-02 00:01:00,44382.0,44391.22,44324.83,44329.77,93.98147
2022-03-02 00:02:00,44329.78,44433.29,44281.42,44419.23,81.10227
2022-03-02 00:03:00,44419.24,44500.88,44419.23,44464.32,72.39974
2022-03-02 00:04:00,44464.33,44661.3,44457.1,44648.21,338.08143
2022-03-02 00:05:00,44648.2,44750.0,44640.0,44652.1,159.29227
2022-03-02 00:06:00,44652.1,44668.2,44555.79,44593.3,71.43237
2022-03-02 00:07:00,44593.3,44598.32,44518.14,44528.91,44.51038
2022-03-02 00:08:00,44528.91,44534.46,44440.18,44444.13,41.97447
2022-03-02 00:10:00,44452.98,44545.48,44452.97,44488.99,32.0164
2022-03-02 00:11:00,44488.99,44524.12,44467.82,44524.12,31.71152
2022-03-02 00:12:00,44524.12,44524.12,44454.61,44460.09,27.98153
2022-03-02 00:13:00,44460.09,44520.64,44460.08,44513.84,19.40915
2022-03-02 00:14:00,44513.85,44595.52,44508.14,44587.98,43.02138
2022-03-02 00:15:00,44587.97,44587.98,44532.09,44561.59,49.97848
2022-03-02 00:16:00,44561.59,44561.59,44526.71,44548.33,85.06402
2022-03-02 00:17:00,44548.33,44550.0,44506.35,44513.41,17.0859
2022-03-02 00:18:00,44513.4,44565.0,44501.5,44550.47,20.68141
2022-03-02 00:19:00,44550.47,44572.26,44529.35,44533.96,21.94968
2022-03-02 00:21:00,44493.95,44533.69,44481.01,44523.13,28.92295
2022-03-02 00:22:00,44523.13,44558.23,44505.0,44505.0,24.30071
2022-03-02 00:23:00,44505.0,44506.47,44404.51,44416.31,54.74567
2022-03-02 00:24:00,44416.31,44416.77,44222.23,44246.24,263.72253
2022-03-02 00:25:00,44246.24,44257.31,44145.83,44150.57,97.03717
2022-03-02 00:26:00,44150.57,44292.49,44140.5,44287.55,89.39645
2022-03-02 00:27:00,44287.55,44287.55,44178.4,44200.6,67.46614
2022-03-02 00:28:00,44200.59,44228.47,44132.48,44132.48,44.45201
2022-03-02 00:29:00,44132.48,44238.63,44132.48,44233.7,38.19269
2022-03-02 00:30:00,44233.7,44242.97,44130.88,44162.88,43.6927
2022-03-02 00:32:00,44072.78,44151.37,44064.83,44149.65,39.96866
2022-03-02 00:33:00,44149.66,44149.66,44072.77,44079.8,49.35249
2022-03-02 00:34:00,44079.81,44080.98,44020.0,44025.2,63.09867
2022-03-02 00:35:00,44025.19,44059.43,43977.03,43977.04,94.12595
2022-03-02 00:36:00,43977.04,43997.83,43924.23,43954.29,79.64613
2022-03-02 00:37:00,43954.29,44042.21,43954.29,43994.16,82.88896
2022-03-02 00:38:00,43994.16,44090.9,43994.16,44071.27,44.47807
2022-03-02 00:39:00,44071.27,44145.91,44071.27,44144.06,33.34149
2022-03-02 00:40:00,44144.06,44144.06,44065.17,44131.82,32.17792
2022-03-02 00:41:00,44131.82,44131.83,44100.02,44117.52,18.82593
2022-03-02 00:43:00,44137.82,44182.69,44137.81,44181.8,27.62546
2022-03-02 00:44:00,44181.81,44193.87,44147.2,44150.93,17.93639
2022-03-02 00:45:00,44150.93,44200.9,44150.93,44195.23,30.72375
2022-03-02 00:46:00,44195.22,44247.83,44190.09,44198.05,59.72033
2022-03-02 00:47:00,44198.04,44230.97,44194.02,44194.02,16.09381
2022-03-02 00:48:00,44194.02,44221.84,44187.84,44218.43,26.23159
2022-03-02 00:49:00,44218.44,44229.71,44207.54,44209.99,14.69297
2022-03-02 00:50:00,44210.0,44213.24,44150.93,44152.62,22.76584
2022-03-02 00:51:00,44152.62,44171.62,44105.74,44108.99,59.95559
2022-03-02 00:52:00,44108.98,44137.26,44108.98,44115.37,15.2965
2022-03-02 00:54:00,44188.12,44196.91,44172.89,44180.53,16.06237
2022-03-02 00:55:00,44180.53,44203.49,44137.77,44173.26,22.80828
2022-03-02 00:56:00,44173.26,44214.28,44171.49,44207.53,16.62362
2022-03-02 00:57:00,44207.53,44257.01,44207.53,44253.0,49.86227
2022-03-02 00:58:00,44253.0,44300.0,44251.01,44285.2,31.63739
2022-03-02 00:59:00,44285.21,44289.3,44264.84,44280.0,15.35297
2022-03-02 01:00:00,44280.0,44291.7,44242.94,44281.67,22.04239
