,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-03-01 23:59:00,44425.27,44427.9,44428.99,44429.0,44430.14,44430.15,44431.32,44431.33,44431.87,44432.65,0.36164,0.01612,0.0009,0.35213,0.22062,0.0285,0.08779,0.04056,0.00097,0.1598,44425.26,44423.55,44423.54,44423.47,44420.13,44420.12,44419.99,44419.95,44419.85,44418.22,0.80792,0.04504,0.01511,0.12628,0.88536,0.163,0.02839,0.70351,0.00276,0.28457
2022-03-02,44380.07,44381.14,44381.44,44382.01,44382.35,44382.47,44383.23,44383.24,44383.25,44384.09,0.14787,0.01388,0.68609,0.07683,0.11745,0.00407,0.04723,0.31855,0.002,0.023,44380.06,44380.05,44379.17,44378.86,44378.85,44378.84,44378.83,44378.23,44377.99,44377.95,0.68415,0.36157,0.00574,0.18966,0.01888,0.40235,0.32236,0.11261,0.01479,0.03864
2022-03-02 00:01:00,44319.0,44320.23,44320.94,44321.78,44322.81,44322.82,44323.43,44323.66,44323.67,44324.43,0.26535,0.12672,0.00964,0.02803,0.0009,0.28429,0.055,0.23958,0.136,0.00357,44318.99,44318.19,44317.83,44317.78,44317.77,44317.33,44316.86,44316.85,44316.55,44316.42,0.11646,0.08185,0.00383,0.00773,0.00959,0.03664,0.11277,0.00023,0.006,0.00085
2022-03-02 00:02:00,44431.09,44432.0,44433.9,44436.55,44436.97,44437.12,44437.54,44437.97,44438.7,44439.16,0.4766,0.04007,0.0006,0.00059,0.03974,0.01967,0.01306,0.00045,0.00198,0.00307,44431.08,44430.05,44430.0,44427.35,44426.64,44426.63,44426.46,44426.41,44426.4,44426.11,0.49466,0.04504,0.041,0.02251,0.0009,0.136,0.00199,0.18134,0.04808,0.3473
2022-03-02 00:03:00,44491.01,44492.29,44492.3,44493.42,44494.29,44494.3,44495.0,44495.26,44497.44,44499.3,0.08537,0.04551,0.1879,0.00219,0.16445,0.65675,0.001,0.0637,0.0012,0.11238,44491.0,44489.63,44489.49,44488.83,44488.01,44488.0,44487.55,44487.54,44487.44,44487.43,0.7263,0.11238,0.78067,0.00538,0.19982,0.01,0.26971,0.23958,0.08766,0.27979
2022-03-02 00:04:00,44665.0,44665.3,44665.37,44665.42,44665.43,44665.51,44665.72,44665.86,44665.99,44666.0,0.37725,0.00124,0.00028,0.00067,0.00067,0.00138,0.00114,0.00296,0.06349,10.18907,44664.99,44664.96,44664.51,44664.5,44664.19,44663.46,44663.45,44661.55,44661.54,44661.37,1.0606,0.04481,0.26864,0.09216,0.02096,0.19308,0.041,0.33096,0.40792,0.26864
2022-03-02 00:05:00,44664.86,44665.96,44668.97,44670.0,44670.08,44670.89,44670.9,44671.17,44672.16,44673.82,0.00956,0.0011,0.59027,0.03067,0.0012,0.03427,0.03145,0.09401,0.0012,0.17208,44664.85,44664.7,44663.77,44663.76,44663.42,44662.31,44661.73,44660.43,44659.79,44657.44,3.4955,0.35483,0.26865,0.01091,0.13068,0.136,0.03,0.00735,0.54567,0.0164
2022-03-02 00:06:00,44595.38,44596.15,44596.52,44596.53,44596.57,44597.69,44598.32,44598.76,44598.77,44598.78,0.32659,0.00961,0.00089,0.27977,0.74137,0.01035,0.11324,0.26351,0.2691,0.004,44595.37,44595.21,44594.34,44594.33,44593.86,44593.69,44593.29,44592.13,44589.68,44589.63,0.01691,0.04193,0.03007,0.40792,0.00226,0.00027,0.00383,0.03919,0.00943,0.00089
2022-03-02 00:07:00,44519.94,44519.98,44520.83,44521.06,44524.37,44524.48,44525.05,44526.65,44526.66,44527.19,0.37286,0.26169,0.05175,0.14732,0.32667,0.02246,0.8796,0.0876,0.0413,0.17764,44519.93,44518.12,44517.24,44517.01,44516.49,44516.31,44516.29,44516.22,44516.18,44516.16,0.79047,0.00957,0.0091,0.00558,0.00056,0.2732,0.69613,0.01964,0.02641,0.0012
2022-03-02 00:08:00,44435.6,44436.67,44436.84,44437.23,44437.57,44438.16,44439.02,44439.8,44439.85,44440.32,0.12545,0.23608,0.0303,0.01555,0.01069,0.27975,0.01035,0.0021,1.75796,0.0225,44435.59,44435.06,44434.88,44434.74,44434.14,44433.91,44433.9,44433.5,44433.29,44433.22,0.54927,0.00116,0.009,0.01954,0.01043,0.00094,0.0006,0.00023,0.00035,0.01485
2022-03-02 00:10:00,44488.65,44490.0,44490.66,44491.54,44492.83,44492.84,44493.26,44493.29,44493.35,44493.44,0.24335,0.01035,0.01012,0.03916,0.8394,0.15474,0.02248,0.08,0.04808,0.002,44488.64,44487.28,44487.27,44486.63,44486.07,44486.0,44485.99,44485.64,44485.45,44485.0,0.10649,0.00876,0.11405,0.01876,0.01032,0.1837,0.7148,0.00027,0.00872,0.00329
2022-03-02 00:11:00,44505.28,44506.19,44506.27,44506.28,44506.63,44506.75,44509.16,44509.17,44509.97,44511.78,0.07829,0.00273,0.10687,0.23958,0.00044,0.01306,0.01386,0.01035,0.04006,0.00089,44505.27,44504.05,44504.04,44504.02,44503.23,44503.22,44503.21,44502.81,44501.77,44501.73,0.43804,0.04495,0.00615,0.00699,0.00089,1.7,0.0091,0.01087,0.227,0.47691
2022-03-02 00:12:00,44464.49,44464.73,44466.76,44467.05,44467.45,44468.72,44470.11,44470.4,44470.99,44471.0,0.24074,0.01074,0.03802,0.82805,0.06267,0.35218,0.0221,0.0012,0.30256,0.16321,44464.48,44464.09,44464.08,44463.93,44463.63,44463.62,44463.54,44462.78,44462.57,44462.0,1.945,0.045,0.79802,0.01954,0.27631,0.2134,0.10818,0.78334,0.30576,0.02172
2022-03-02 00:13:00,44545.0,44545.46,44545.5,44545.62,44545.73,44546.45,44548.37,44548.66,44549.37,44549.44,0.55647,0.00402,0.00189,0.59418,0.00334,0.00699,0.00024,0.01971,0.033,0.0012,44544.99,44542.98,44542.97,44542.89,44542.39,44542.38,44541.48,44540.66,44540.65,44540.64,0.55642,0.04492,0.01656,0.00402,0.14923,0.62566,0.00349,0.23169,0.01801,0.00444
2022-03-02 00:14:00,44574.5,44575.08,44575.89,44575.9,44576.33,44576.34,44576.41,44576.75,44576.8,44577.93,0.88115,0.04808,0.04105,0.04012,0.04808,0.21112,0.04808,0.03924,0.004,0.3464,44574.49,44571.59,44570.3,44570.24,44569.89,44569.63,44568.58,44568.16,44567.96,44567.77,0.41971,0.75666,0.01066,0.0012,0.002,0.01237,0.04176,0.0012,0.136,0.10469
2022-03-02 00:15:00,44550.01,44550.08,44550.86,44551.17,44552.07,44552.08,44552.09,44552.33,44552.89,44552.96,1.84291,0.136,0.06871,0.06719,0.03624,2.16706,0.65831,0.08,0.04808,0.01035,44550.0,44549.85,44549.21,44548.61,44547.94,44546.29,44545.28,44543.87,44543.82,44543.34,23.41882,0.66372,0.01076,0.00872,0.67906,0.16545,0.0012,0.08616,0.01958,0.02464
2022-03-02 00:16:00,44535.78,44536.67,44538.58,44539.17,44541.16,44541.17,44542.0,44542.01,44542.33,44542.34,0.01449,0.1539,0.01416,0.0775,0.21711,0.18068,0.04808,0.34,0.28689,0.26945,44535.77,44535.06,44534.88,44534.5,44533.64,44533.11,44532.92,44532.83,44532.78,44532.02,0.74464,0.01035,0.09255,0.02245,0.14308,0.05905,0.0108,0.02039,0.11222,0.03365
