,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-02-28 00:03:00,37513.35,37514.84,37515.56,37516.71,37516.73,37516.75,37517.75,37518.76,37519.51,37520.49,0.22813,0.0016,0.09807,0.10396,0.039,0.38,0.02666,0.26648,0.26655,0.901,37513.34,37509.93,37509.92,37509.77,37509.76,37509.73,37509.71,37508.82,37508.0,37507.96,0.08322,0.17909,0.05592,0.03972,0.07943,0.00076,0.39914,0.00059,0.0006,0.0025
2022-02-28 00:04:00,37589.45,37589.83,37592.73,37593.06,37593.07,37593.22,37594.26,37594.31,37594.76,37595.0,0.11024,0.00371,0.00344,0.00106,0.47104,0.0025,0.00126,0.26603,0.10375,0.0266,37589.44,37587.27,37587.26,37586.34,37585.69,37585.68,37585.36,37584.72,37584.57,37584.33,0.16205,0.00798,0.11144,0.00953,0.17544,0.152,0.02562,0.10109,0.17004,0.04789
2022-02-28 00:05:00,37724.07,37724.6,37725.7,37727.6,37727.84,37727.97,37728.88,37729.18,37730.57,37730.77,0.14199,0.09986,0.0434,0.1295,0.00365,0.00369,0.09986,0.07855,0.03,0.05069,37724.06,37723.11,37723.1,37722.3,37722.15,37721.25,37721.2,37721.19,37720.62,37720.28,0.42894,0.09232,0.36914,0.03357,0.02398,0.01308,0.16672,0.72394,0.0501,0.152
2022-02-28 00:06:00,37766.0,37767.04,37768.54,37769.42,37770.48,37770.76,37772.46,37773.12,37773.47,37774.14,0.52097,0.17294,0.11666,0.01265,0.00126,0.0025,0.00126,0.09675,0.02647,0.26467,37765.99,37764.51,37763.23,37762.93,37762.85,37762.14,37761.94,37761.93,37761.44,37761.43,0.21083,0.07458,0.0331,0.05751,0.04107,0.02648,1.34199,0.152,0.02594,0.02338
2022-02-28 00:07:00,37752.96,37754.76,37755.3,37755.7,37755.95,37756.35,37756.36,37758.6,37759.22,37760.04,0.50619,0.51494,0.05125,0.01449,0.17429,0.00105,0.51581,0.00126,0.05,0.747,37752.95,37752.55,37752.51,37750.44,37750.28,37749.52,37749.03,37748.24,37748.23,37747.69,0.11116,0.00811,0.05603,0.01864,0.04195,0.00146,0.01439,0.21501,0.04768,0.22356
2022-02-28 00:08:00,37724.65,37724.85,37724.86,37726.46,37726.55,37727.15,37727.16,37727.49,37727.77,37727.78,1.73545,0.001,0.25,0.0444,0.03865,0.78233,0.63577,0.03613,0.01004,0.26508,37724.64,37722.58,37721.89,37721.35,37721.03,37720.98,37720.1,37719.69,37719.06,37719.0,0.05075,0.19374,0.0025,0.01449,0.06619,0.00126,0.0853,0.5013,0.04778,0.00126
2022-02-28 00:09:00,37742.76,37744.82,37746.54,37747.44,37749.11,37749.2,37749.99,37750.0,37750.02,37750.61,0.055,0.01439,0.41104,0.0004,0.0501,0.01039,0.37391,0.02888,0.152,0.2649,37742.75,37741.99,37740.73,37740.72,37740.71,37740.16,37739.41,37739.4,37739.26,37739.06,0.86545,0.0265,0.26491,0.1853,0.74118,0.40283,0.16052,0.05637,0.43347,0.01437
2022-02-28 00:10:00,37685.35,37687.62,37688.99,37689.02,37689.03,37689.04,37689.29,37689.83,37689.88,37690.34,0.50332,0.0135,0.28719,0.03762,0.12205,0.38,0.14859,0.01505,0.17453,0.27519,37685.34,37685.27,37683.94,37683.93,37683.15,37681.94,37681.83,37681.48,37681.38,37680.95,0.18382,0.00269,0.03142,0.08361,0.00207,0.23175,0.59443,0.02654,0.00126,0.10349
2022-02-28 00:11:00,37699.0,37699.52,37700.16,37701.86,37701.88,37702.58,37702.59,37703.31,37703.32,37703.94,0.05129,0.00978,0.02653,0.00398,0.001,0.02422,0.0158,0.00106,0.08,0.55326,37698.99,37697.99,37696.85,37696.14,37696.09,37695.68,37695.58,37695.54,37695.53,37695.23,0.76792,0.2383,0.2383,0.39774,0.38,0.01617,0.6226,0.29326,0.38,0.00271
2022-02-28 00:12:00,37738.78,37740.34,37740.54,37740.55,37740.62,37741.72,37741.73,37742.52,37743.4,37744.67,2.38101,0.20238,0.265,0.38,0.01622,0.69581,0.24723,0.37784,0.3485,0.26496,37738.77,37735.37,37733.4,37733.11,37733.06,37733.05,37732.86,37732.7,37731.49,37731.21,0.10623,0.0171,0.20181,0.04775,0.20475,0.00131,0.00161,0.68825,0.006,0.152
