,open,high,low,close,volume
2022-02-28 23:59:00,43205.74,43205.75,43156.66,43160.0,43.1901
2022-02-28 23:59:00,43205.74,43205.75,43156.66,43160.0,43.1901
2022-03-01 00:01:00,43179.84,43262.66,43174.54,43256.94,41.22686
2022-03-01 00:02:00,43258.17,43529.82,43253.8,43488.96,286.95151
2022-03-01 00:03:00,43489.01,43503.8,43325.73,43325.73,121.73131
2022-03-01 00:04:00,43325.73,43447.35,43318.05,43428.83,84.30619
2022-03-01 00:05:00,43428.84,43429.47,43335.62,43358.06,65.61197
2022-03-01 00:06:00,43358.06,43358.06,43273.89,43282.67,60.79431
2022-03-01 00:07:00,43282.67,43313.16,43218.65,43313.15,41.79033
2022-03-01 00:08:00,43313.15,43400.0,43302.83,43391.07,40.24688
2022-03-01 00:10:00,43431.5,43509.38,43421.47,43482.65,75.16438
2022-03-01 00:11:00,43482.65,43608.0,43438.75,43559.63,130.84216
2022-03-01 00:12:00,43559.63,43573.62,43442.18,43476.84,71.01546
2022-03-01 00:13:00,43476.85,43482.1,43384.31,43404.56,50.99231
2022-03-01 00:14:00,43404.55,43406.21,43361.0,43373.48,35.77601
2022-03-01 00:15:00,43373.47,43373.48,43300.0,43306.12,37.5191
2022-03-01 00:16:00,43306.11,43317.24,43270.0,43286.81,41.94772
2022-03-01 00:17:00,43286.81,43286.81,43248.57,43269.61,25.54984
2022-03-01 00:18:00,43269.6,43269.61,43173.17,43177.43,56.22941
2022-03-01 00:19:00,43177.42,43286.81,43173.2,43265.92,61.38842
2022-03-01 00:21:00,43308.02,43308.03,43231.36,43287.04,32.01808
2022-03-01 00:22:00,43284.29,43287.04,43250.0,43266.81,43.17763
2022-03-01 00:23:00,43266.8,43274.91,43203.95,43261.08,51.34733
2022-03-01 00:24:00,43261.08,43298.47,43243.16,43279.99,41.53254
2022-03-01 00:25:00,43279.99,43300.0,43260.0,43294.94,26.931
2022-03-01 00:26:00,43294.94,43350.65,43289.93,43350.65,26.44188
2022-03-01 00:27:00,43350.65,43367.24,43333.17,43342.15,20.69439
2022-03-01 00:28:00,43342.15,43395.4,43325.45,43388.92,26.2187
2022-03-01 00:29:00,43388.93,43400.0,43360.0,43377.95,26.18549
2022-03-01 00:30:00,43377.96,43381.48,43345.0,43345.0,21.03846
2022-03-01 00:32:00,43330.33,43356.88,43311.0,43338.05,27.47438
2022-03-01 00:33:00,43338.05,43427.93,43334.31,43427.9,94.70254
2022-03-01 00:34:00,43427.9,43535.91,43398.52,43523.8,207.85696
2022-03-01 00:35:00,43523.81,43529.59,43493.0,43520.65,61.48199
2022-03-01 00:36:00,43520.64,43545.14,43447.23,43447.24,75.49072
2022-03-01 00:37:00,43447.24,43484.0,43442.02,43483.99,22.69286
2022-03-01 00:38:00,43483.99,43487.87,43401.27,43429.99,37.56085
2022-03-01 00:39:00,43429.99,43447.73,43421.16,43424.01,22.0523
2022-03-01 00:40:00,43424.02,43448.8,43421.97,43433.14,33.96041
2022-03-01 00:41:00,43433.14,43489.17,43429.91,43464.04,16.16881
2022-03-01 00:43:00,43455.63,43485.0,43437.28,43472.41,59.30233
2022-03-01 00:44:00,43474.99,43533.84,43472.41,43525.23,102.52542
2022-03-01 00:45:00,43525.23,43525.24,43450.67,43472.21,59.37439
2022-03-01 00:46:00,43472.21,43750.0,43469.14,43544.93,272.62245
2022-03-01 00:47:00,43544.93,43549.28,43434.82,43467.95,49.96856
2022-03-01 00:48:00,43467.95,43471.09,43346.88,43358.75,53.28498
2022-03-01 00:49:00,43358.74,43389.2,43329.81,43351.82,50.05753
2022-03-01 00:50:00,43351.81,43420.0,43350.96,43402.33,49.15012
2022-03-01 00:51:00,43402.33,43420.0,43396.42,43401.49,23.19836
2022-03-01 00:52:00,43401.49,43420.0,43400.0,43408.71,31.82246
2022-03-01 00:54:00,43427.73,43494.19,43427.73,43463.12,20.64994
2022-03-01 00:55:00,43463.13,43550.0,43457.54,43538.04,53.6134
2022-03-01 00:56:00,43538.05,43546.35,43514.36,43522.18,28.36037
2022-03-01 00:58:00,43499.97,43566.01,43499.96,43545.3,48.39695
2022-03-01 01:00:00,43560.01,43573.75,43501.61,43523.81,54.10716
2022-03-01 01:01:00,43523.82,43574.56,43511.01,43573.93,45.54123
2022-03-01 01:02:00,43573.93,43630.09,43561.41,43586.01,110.71833
2022-03-01 01:04:00,43561.19,43561.2,43470.0,43507.68,56.02888
2022-03-01 01:05:00,43507.69,43516.99,43493.44,43514.49,11.14969
2022-03-01 01:06:00,43514.49,43545.41,43507.27,43534.95,9.90389
2022-03-01 01:07:00,43534.95,43549.43,43498.93,43501.83,14.04898
2022-03-01 01:08:00,43501.82,43521.25,43435.91,43473.36,77.50186
2022-03-01 01:09:00,43473.37,43488.08,43451.28,43451.29,22.58034
2022-03-01 01:10:00,43451.28,43451.29,43417.68,43444.36,23.11328
2022-03-01 01:11:00,43444.35,43455.84,43377.47,43377.48,37.79655
2022-03-01 01:12:00,43377.47,43404.92,43359.85,43387.21,64.09055
2022-03-01 01:13:00,43387.21,43391.05,43316.36,43347.81,59.61294
2022-03-01 01:15:00,43288.84,43300.0,43263.45,43263.45,44.41253
2022-03-01 01:16:00,43263.45,43288.3,43249.91,43286.35,37.59571
2022-03-01 01:17:00,43286.34,43288.0,43225.57,43267.81,39.29673
2022-03-01 01:18:00,43267.81,43269.74,43222.22,43249.02,44.17828
2022-03-01 01:19:00,43249.01,43300.0,43247.12,43286.19,134.78671
2022-03-01 01:20:00,43286.19,43326.85,43281.3,43318.92,70.68161
2022-03-01 01:21:00,43318.92,43342.1,43318.92,43339.74,14.9607
2022-03-01 01:22:00,43339.74,43377.83,43337.3,43376.13,31.81394
2022-03-01 01:23:00,43376.12,43383.63,43307.97,43318.35,40.91908
2022-03-01 01:24:00,43318.35,43350.0,43306.54,43331.41,22.78087
2022-03-01 01:26:00,43309.26,43323.91,43265.74,43282.41,41.8357
2022-03-01 01:27:00,43282.4,43288.0,43255.13,43270.08,48.28942
2022-03-01 01:28:00,43270.08,43305.46,43260.41,43287.0,87.51006
2022-03-01 01:29:00,43286.99,43288.74,43243.78,43278.14,40.55787
2022-03-01 01:30:00,43278.13,43327.47,43252.5,43327.45,95.48493
2022-03-01 01:31:00,43327.46,43330.99,43277.28,43286.73,35.46343
2022-03-01 01:32:00,43286.73,43303.87,43286.57,43302.22,23.55116
2022-03-01 01:33:00,43302.22,43345.35,43298.17,43312.76,29.80301
2022-03-01 01:34:00,43312.77,43312.77,43261.76,43289.63,36.91843
2022-03-01 01:35:00,43289.64,43306.55,43286.56,43305.05,29.79397
2022-03-01 01:37:00,43321.06,43346.77,43318.72,43330.86,28.65324
2022-03-01 01:38:00,43330.87,43330.88,43312.33,43314.28,16.41996
2022-03-01 01:39:00,43314.29,43347.2,43297.32,43323.56,27.35238
2022-03-01 01:40:00,43323.55,43414.1,43267.76,43399.46,83.64183
2022-03-01 01:41:00,43399.47,43438.3,43395.6,43425.23,23.08731
2022-03-01 01:42:00,43425.23,43425.24,43375.51,43377.17,17.94649
