,open,high,low,close,volume
2022-03-03,43892.99,43913.51,43832.14,43833.2,44.90628
2022-03-03 00:01:00,43833.19,43943.83,43833.19,43943.82,56.79258
2022-03-03 00:02:00,43943.83,43961.11,43905.18,43909.58,25.37397
2022-03-03 00:03:00,43909.58,43913.43,43820.91,43850.01,25.85574
2022-03-03 00:04:00,43850.01,43850.01,43761.57,43785.18,62.38775
2022-03-03 00:05:00,43785.17,43820.95,43785.17,43794.78,30.56379
2022-03-03 00:06:00,43794.78,43833.37,43784.49,43803.88,32.05567
2022-03-03 00:07:00,43803.88,43804.34,43780.17,43785.61,24.0532
2022-03-03 00:08:00,43785.61,43785.62,43697.59,43725.18,55.37039
2022-03-03 00:09:00,43725.18,43777.07,43725.17,43759.18,65.6483
2022-03-03 00:11:00,43735.66,43735.66,43699.3,43699.99,41.7967
2022-03-03 00:12:00,43699.99,43725.0,43663.5,43724.99,66.24907
2022-03-03 00:13:00,43725.0,43749.79,43714.56,43714.76,25.87139
2022-03-03 00:14:00,43714.76,43727.49,43700.0,43701.57,34.41302
2022-03-03 00:15:00,43701.57,43755.63,43701.56,43752.0,16.46999
2022-03-03 00:16:00,43752.0,43770.52,43740.0,43770.52,11.53414
2022-03-03 00:17:00,43770.51,43828.93,43770.51,43819.75,26.9672
2022-03-03 00:18:00,43819.75,43836.01,43817.82,43821.45,8.43429
2022-03-03 00:19:00,43821.45,43843.4,43801.72,43801.72,16.66457
2022-03-03 00:20:00,43801.73,43849.78,43801.72,43819.01,53.50112
2022-03-03 00:22:00,43847.62,43866.09,43834.26,43842.77,34.47582
2022-03-03 00:23:00,43842.76,43843.37,43828.52,43834.75,8.91743
2022-03-03 00:24:00,43834.75,43843.36,43834.22,43835.06,10.0323
2022-03-03 00:25:00,43835.06,43835.07,43803.56,43803.56,10.16463
2022-03-03 00:26:00,43803.56,43869.96,43793.86,43869.96,23.84337
2022-03-03 00:27:00,43869.95,43869.96,43852.03,43858.89,9.95732
2022-03-03 00:28:00,43858.88,43890.08,43854.47,43873.35,10.74953
2022-03-03 00:29:00,43873.35,43883.03,43863.34,43877.46,9.68403
2022-03-03 00:30:00,43877.46,43917.72,43874.28,43911.3,22.25685
2022-03-03 00:31:00,43911.31,43957.81,43911.3,43945.16,34.67145
2022-03-03 00:33:00,43911.47,44000.0,43911.46,43991.93,24.02621
2022-03-03 00:34:00,43991.93,44000.88,43950.59,43955.08,44.15497
2022-03-03 00:35:00,43955.08,43964.8,43946.98,43949.08,11.50177
2022-03-03 00:36:00,43949.09,43956.95,43936.88,43936.89,17.63103
2022-03-03 00:37:00,43936.88,43948.84,43925.33,43925.34,14.15081
2022-03-03 00:38:00,43925.33,43925.38,43897.9,43925.38,16.04934
2022-03-03 00:39:00,43925.38,43934.35,43909.4,43919.22,29.87792
2022-03-03 00:40:00,43919.23,43940.01,43914.97,43940.0,5.55745
2022-03-03 00:41:00,43940.01,43940.01,43927.46,43937.9,16.6907
2022-03-03 00:42:00,43937.9,43937.91,43904.48,43917.2,13.05856
