,open,high,low,close,volume
2022-03-01 00:08:00,43323.0,43408.0,43311.0,43398.0,163660.588
2022-03-01 00:09:00,43398.0,43466.0,43398.0,43438.0,399250.0718
2022-03-01 00:10:00,43435.0,43515.0,43429.0,43485.0,193896.5669
2022-03-01 00:11:00,43485.0,43628.0,43444.0,43557.0,703905.5632
2022-03-01 00:12:00,43557.0,43574.0,43444.0,43480.0,106574.8678
2022-03-01 00:13:00,43480.0,43480.0,43389.0,43408.0,268134.3226
2022-03-01 00:14:00,43408.0,43408.0,43363.0,43368.0,52985.2322
2022-03-01 00:15:00,43368.0,43377.0,43302.0,43308.0,157273.7945
2022-03-01 00:16:00,43308.0,43324.0,43273.0,43292.0,213680.4417
2022-03-01 00:17:00,43292.0,43292.0,43252.0,43272.0,310894.6467
2022-03-01 00:19:00,43181.0,43295.0,43181.0,43269.0,85633.1334
2022-03-01 00:20:00,43268.0,43345.0,43253.0,43316.0,128175.9606
2022-03-01 00:21:00,43316.0,43316.0,43250.0,43286.0,38316.6544
2022-03-01 00:22:00,43288.0,43297.0,43257.0,43270.0,34905.5452
2022-03-01 00:23:00,43270.0,43273.0,43218.0,43266.0,172028.7061
2022-03-01 00:24:00,43264.0,43294.0,43251.0,43289.0,15543.4169
2022-03-01 00:25:00,43289.0,43305.0,43268.0,43299.0,83197.4102
2022-03-01 00:26:00,43299.0,43355.0,43299.0,43355.0,143836.3178
2022-03-01 00:27:00,43355.0,43378.0,43343.0,43347.0,211805.5965
2022-03-01 00:28:00,43347.0,43400.0,43334.0,43397.0,117754.054
2022-03-01 00:30:00,43380.0,43390.0,43352.0,43353.0,71817.8489
2022-03-01 00:31:00,43353.0,43373.0,43316.0,43338.0,124269.1263
2022-03-01 00:32:00,43338.0,43364.0,43322.0,43344.0,34806.5144
2022-03-01 00:33:00,43344.0,43438.0,43344.0,43438.0,96546.911
2022-03-01 00:34:00,43439.0,43550.0,43411.0,43534.0,402286.64
2022-03-01 00:35:00,43532.0,43544.0,43499.0,43530.0,102870.0388
2022-03-01 00:36:00,43530.0,43547.0,43449.0,43451.0,98850.5834
2022-03-01 00:37:00,43451.0,43489.0,43449.0,43489.0,103456.1597
2022-03-01 00:38:00,43489.0,43492.0,43408.0,43442.0,37293.0456
2022-03-01 00:39:00,43442.0,43457.0,43427.0,43435.0,11017.3634
2022-03-01 00:41:00,43439.0,43495.0,43439.0,43479.0,77031.9523
2022-03-01 00:42:00,43481.0,43483.0,43461.0,43464.0,5276.9983
2022-03-01 00:43:00,43464.0,43494.0,43449.0,43480.0,56915.1331
2022-03-01 00:44:00,43480.0,43533.0,43477.0,43529.0,407728.8313
2022-03-01 00:45:00,43528.0,43529.0,43453.0,43473.0,476667.1879
2022-03-01 00:46:00,43473.0,43766.0,43471.0,43546.0,1592864.1756
2022-03-01 00:47:00,43546.0,43547.0,43440.0,43470.0,452362.8259
2022-03-01 00:49:00,43365.0,43389.0,43334.0,43348.0,125782.7271
2022-03-01 00:50:00,43348.0,43420.0,43348.0,43410.0,93803.0594
2022-03-01 00:51:00,43410.0,43420.0,43399.0,43406.0,94877.7649
2022-03-01 00:52:00,43406.0,43420.0,43404.0,43413.0,62251.1215
2022-03-01 00:53:00,43412.0,43450.0,43411.0,43429.0,68668.2782
2022-03-01 00:54:00,43430.0,43497.0,43430.0,43466.0,480684.9026
2022-03-01 00:55:00,43465.0,43552.0,43463.0,43545.0,97072.5698
2022-03-01 00:56:00,43545.0,43545.0,43515.0,43526.0,61061.7644
2022-03-01 00:57:00,43526.0,43536.0,43485.0,43503.0,59564.2753
2022-03-01 00:58:00,43503.0,43570.0,43503.0,43546.0,57409.855
2022-03-01 01:00:00,43556.0,43574.0,43506.0,43527.0,79992.0824
2022-03-01 01:01:00,43527.0,43581.0,43523.0,43581.0,66987.4313
2022-03-01 01:02:00,43581.0,43623.0,43579.0,43591.0,188789.4044
2022-03-01 01:03:00,43591.0,43600.0,43548.0,43567.0,19491.1748
2022-03-01 01:04:00,43565.0,43570.0,43475.0,43509.0,125818.7028
2022-03-01 01:05:00,43509.0,43516.0,43490.0,43512.0,20538.5328
2022-03-01 01:06:00,43512.0,43545.0,43509.0,43534.0,87267.5494
2022-03-01 01:07:00,43534.0,43546.0,43501.0,43507.0,2463.9881
2022-03-01 01:08:00,43507.0,43525.0,43450.0,43476.0,175974.9906
2022-03-01 01:09:00,43476.0,43488.0,43453.0,43456.0,78172.6841
2022-03-01 01:11:00,43449.0,43461.0,43380.0,43381.0,204244.9916
2022-03-01 01:12:00,43381.0,43411.0,43370.0,43386.0,238736.7111
2022-03-01 01:13:00,43386.0,43392.0,43329.0,43341.0,149518.2854
2022-03-01 01:14:00,43341.0,43341.0,43266.0,43288.0,189295.2318
2022-03-01 01:15:00,43288.0,43299.0,43266.0,43266.0,51041.9038
2022-03-01 01:16:00,43266.0,43288.0,43263.0,43286.0,75960.9205
2022-03-01 01:17:00,43286.0,43289.0,43246.0,43269.0,66161.0666
2022-03-01 01:18:00,43269.0,43270.0,43226.0,43259.0,141308.6967
2022-03-01 01:19:00,43259.0,43308.0,43259.0,43289.0,138204.1444
2022-03-01 01:20:00,43288.0,43332.0,43285.0,43329.0,71591.3433
2022-03-01 01:22:00,43345.0,43377.0,43344.0,43377.0,16085.4962
2022-03-01 01:23:00,43377.0,43386.0,43314.0,43323.0,184255.2038
2022-03-01 01:24:00,43323.0,43354.0,43317.0,43335.0,8597.0028
2022-03-01 01:25:00,43335.0,43335.0,43295.0,43314.0,30420.6997
2022-03-01 01:26:00,43313.0,43325.0,43280.0,43290.0,22229.0292
2022-03-01 01:27:00,43290.0,43294.0,43268.0,43275.0,52936.7038
2022-03-01 01:28:00,43275.0,43312.0,43275.0,43295.0,17397.099
2022-03-01 01:29:00,43296.0,43296.0,43260.0,43286.0,83098.2603
2022-03-01 01:30:00,43286.0,43336.0,43267.0,43336.0,10768.8541
2022-03-01 01:31:00,43336.0,43340.0,43297.0,43297.0,32494.0622
2022-03-01 01:33:00,43311.0,43345.0,43311.0,43323.0,29426.7815
2022-03-01 01:34:00,43323.0,43323.0,43274.0,43299.0,121226.6845
2022-03-01 01:35:00,43299.0,43316.0,43292.0,43310.0,30976.3749
2022-03-01 01:36:00,43310.0,43329.0,43299.0,43329.0,35588.4688
