,open,high,low,close,volume
2022-02-27 06:49:00,38723.0,38735.0,38714.0,38716.0,16761.3683
2022-02-27 06:50:00,38716.0,38718.0,38705.0,38707.0,19903.3292
2022-02-27 06:51:00,38707.0,38719.0,38706.0,38717.0,14729.1527
2022-02-27 06:52:00,38717.0,38718.0,38709.0,38713.0,9541.8911
2022-02-27 06:53:00,38713.0,38734.0,38713.0,38717.0,13072.5022
2022-02-27 06:54:00,38717.0,38728.0,38706.0,38728.0,17497.1646
2022-02-27 06:55:00,38728.0,38799.0,38717.0,38786.0,184610.8555
2022-02-27 06:56:00,38786.0,38879.0,38763.0,38822.0,414449.08
2022-02-27 06:57:00,38822.0,38822.0,38786.0,38787.0,34545.2394
2022-02-27 06:58:00,38787.0,38803.0,38773.0,38773.0,12412.9491
2022-02-27 07:00:00,38779.0,38810.0,38778.0,38810.0,145761.7161
2022-02-27 07:01:00,38810.0,38835.0,38809.0,38835.0,9795.2548
2022-02-27 07:02:00,38835.0,38856.0,38831.0,38838.0,231996.0931
2022-02-27 07:03:00,38838.0,38839.0,38831.0,38831.0,27.1852
2022-02-27 07:04:00,38831.0,38831.0,38810.0,38820.0,4976.0287
2022-02-27 07:05:00,38820.0,38827.0,38810.0,38810.0,15964.5874
2022-02-27 07:06:00,38810.0,38810.0,38800.0,38800.0,39122.5249
2022-02-27 07:07:00,38800.0,38811.0,38768.0,38777.0,179174.5964
2022-02-27 07:08:00,38777.0,38781.0,38755.0,38775.0,219876.8728
2022-02-27 07:09:00,38775.0,38775.0,38767.0,38771.0,2326.0288
2022-02-27 07:11:00,38796.0,38796.0,38783.0,38784.0,58.1859
2022-02-27 07:12:00,38784.0,38795.0,38768.0,38768.0,22824.2062
2022-02-27 07:13:00,38768.0,38771.0,38754.0,38764.0,19200.7601
2022-02-27 07:14:00,38764.0,38788.0,38764.0,38788.0,488.6344
2022-02-27 07:15:00,38788.0,38788.0,38779.0,38780.0,7024.4472
2022-02-27 07:16:00,38780.0,38793.0,38780.0,38786.0,10791.0797
2022-02-27 07:17:00,38786.0,38794.0,38785.0,38790.0,8239.2226
2022-02-27 07:18:00,38790.0,38797.0,38787.0,38792.0,8391.3376
2022-02-27 07:19:00,38792.0,38825.0,38792.0,38820.0,36717.4662
2022-02-27 07:20:00,38821.0,38835.0,38818.0,38829.0,10287.9591
2022-02-27 07:22:00,38827.0,38837.0,38820.0,38837.0,2753.0228
2022-02-27 07:23:00,38837.0,38847.0,38832.0,38835.0,155678.4674
2022-02-27 07:24:00,38835.0,38866.0,38834.0,38861.0,13900.4017
2022-02-27 07:25:00,38861.0,38868.0,38840.0,38841.0,64728.3994
2022-02-27 07:26:00,38841.0,38847.0,38832.0,38832.0,10786.0137
2022-02-27 07:27:00,38832.0,38834.0,38814.0,38822.0,7458.0782
2022-02-27 07:28:00,38822.0,38836.0,38813.0,38813.0,23628.0984
2022-02-27 07:29:00,38813.0,38813.0,38804.0,38810.0,3182.3181
2022-02-27 07:30:00,38810.0,38817.0,38800.0,38806.0,9010.9826
2022-02-27 07:31:00,38806.0,38806.0,38777.0,38794.0,68503.0469
2022-02-27 07:33:00,38787.0,38820.0,38786.0,38819.0,30257.6701
2022-02-27 07:34:00,38819.0,38843.0,38819.0,38843.0,3595.7241
2022-02-27 07:35:00,38843.0,38851.0,38837.0,38846.0,53812.6263
2022-02-27 07:36:00,38846.0,38860.0,38846.0,38853.0,2743.3801
2022-02-27 07:37:00,38853.0,38860.0,38833.0,38835.0,9486.7087
2022-02-27 07:38:00,38835.0,38860.0,38833.0,38860.0,181444.9659
2022-02-27 07:39:00,38860.0,38860.0,38846.0,38851.0,13867.2271
2022-02-27 07:40:00,38851.0,38858.0,38850.0,38851.0,2288.3417
2022-02-27 07:41:00,38851.0,38851.0,38835.0,38837.0,39313.6641
