,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-03-01 00:08:00,43371.0,43371.5,43372.0,43375.0,43376.0,43378.0,43378.5,43379.0,43380.0,43381.0,17.227,3.0,0.001,0.539,0.05,2.118,0.01,0.101,0.001,0.376,43370.5,43370.0,43367.5,43367.0,43366.5,43366.0,43365.5,43365.0,43364.5,43364.0,65.34,4.209,1.462,0.083,0.01,0.049,0.001,0.915,0.569,0.106
2022-03-01 00:09:00,43422.5,43423.0,43423.5,43424.0,43425.5,43427.5,43428.0,43428.5,43430.0,43430.5,69.421,3.114,0.114,0.114,0.114,0.687,1.541,0.572,4.62,0.537,43422.0,43421.5,43420.0,43418.5,43417.5,43417.0,43416.5,43416.0,43415.5,43415.0,24.837,3.0,0.001,0.2,1.462,1.096,0.512,0.83,0.862,2.472
2022-03-01 00:10:00,43450.5,43451.0,43455.0,43456.0,43460.0,43461.5,43462.0,43468.5,43469.5,43470.0,16.708,3.0,0.01,0.456,0.2,0.01,0.2,0.348,3.276,0.595,43450.0,43449.5,43449.0,43448.5,43448.0,43447.5,43447.0,43446.0,43445.5,43445.0,47.714,5.004,0.827,0.746,0.693,0.101,0.078,0.01,3.278,0.717
2022-03-01 00:11:00,43548.0,43548.5,43549.5,43550.0,43550.5,43552.0,43552.5,43554.5,43555.0,43557.0,52.567,3.0,0.223,0.612,0.01,3.27,1.082,0.68,0.01,3.605,43547.5,43547.0,43546.5,43545.0,43542.0,43540.0,43539.0,43538.5,43538.0,43537.5,25.352,3.182,0.01,0.149,0.748,0.003,0.1,0.101,0.008,0.001
2022-03-01 00:12:00,43454.0,43454.5,43455.5,43456.0,43456.5,43457.0,43457.5,43458.0,43458.5,43459.5,50.384,6.278,0.746,0.226,0.019,1.301,0.834,0.651,0.944,0.002,43453.5,43453.0,43450.0,43449.5,43448.0,43447.5,43446.0,43443.5,43443.0,43441.5,23.997,4.0,3.315,0.2,0.149,0.3,0.2,0.591,0.866,0.099
2022-03-01 00:13:00,43387.5,43388.0,43388.5,43389.0,43389.5,43390.0,43390.5,43391.0,43391.5,43392.0,56.476,4.0,0.001,2.567,0.001,0.786,0.01,0.01,0.2,0.68,43387.0,43386.0,43383.5,43380.0,43378.5,43378.0,43377.5,43377.0,43376.5,43376.0,5.588,0.033,0.3,0.107,0.427,1.003,1.021,0.537,0.745,0.118
2022-03-01 00:14:00,43350.5,43351.0,43352.0,43352.5,43353.0,43353.5,43355.0,43357.5,43358.5,43359.0,103.88,4.116,2.619,0.703,0.789,0.249,11.131,0.68,1.597,1.597,43350.0,43348.0,43346.5,43345.0,43344.0,43341.5,43340.0,43339.0,43338.0,43337.5,0.909,0.001,0.046,0.026,0.02,0.004,0.022,0.096,0.118,0.028
2022-03-01 00:15:00,43297.5,43298.0,43300.0,43300.5,43302.0,43303.0,43304.0,43306.0,43306.5,43307.0,52.38,3.195,2.289,0.456,0.13,0.001,0.2,0.2,0.133,0.116,43297.0,43296.5,43296.0,43295.5,43295.0,43294.5,43294.0,43293.5,43292.5,43292.0,37.351,3.888,0.911,0.845,1.392,1.164,0.078,0.001,0.201,0.001
2022-03-01 00:16:00,43268.5,43269.0,43270.0,43270.5,43271.0,43271.5,43272.5,43273.0,43273.5,43274.0,58.713,3.124,0.103,3.292,0.688,0.2,1.07,0.299,0.494,0.003,43268.0,43267.5,43267.0,43266.5,43266.0,43265.0,43263.0,43261.0,43260.0,43258.0,25.661,4.035,0.011,0.001,0.061,0.005,0.006,0.005,3.702,0.056
2022-03-01 00:17:00,43255.0,43255.5,43257.5,43258.0,43259.0,43260.0,43260.5,43261.0,43261.5,43263.5,51.792,4.055,0.01,0.015,0.313,3.294,1.418,0.118,0.2,0.594,43254.5,43254.0,43253.0,43250.0,43249.5,43249.0,43248.5,43248.0,43247.5,43247.0,36.0,4.101,0.302,0.031,0.001,0.428,1.003,0.424,0.486,1.093
2022-03-01 00:19:00,43262.0,43262.5,43263.0,43266.5,43267.5,43268.0,43269.0,43269.5,43270.0,43270.5,59.371,3.024,0.402,0.348,0.501,0.012,0.004,3.292,0.639,0.201,43261.5,43261.0,43260.0,43259.5,43255.0,43254.5,43253.0,43252.0,43250.5,43250.0,19.216,3.001,0.101,0.007,1.0,1.662,0.001,0.2,0.058,0.796
2022-03-01 00:20:00,43290.5,43291.0,43292.5,43295.0,43296.0,43298.5,43299.0,43300.0,43300.5,43301.5,49.629,4.982,0.2,0.2,0.001,3.29,0.917,1.018,0.571,0.872,43290.0,43289.5,43287.5,43285.0,43284.0,43283.0,43281.5,43281.0,43280.5,43280.0,28.177,4.002,0.267,0.007,0.3,1.168,0.981,1.434,0.2,0.16
2022-03-01 00:21:00,43268.0,43268.5,43270.0,43275.0,43276.5,43277.0,43278.0,43279.5,43280.0,43281.5,18.296,4.2,0.011,0.066,0.01,0.014,0.2,0.2,1.759,4.081,43267.5,43267.0,43266.5,43266.0,43265.5,43264.0,43263.5,43263.0,43262.5,43262.0,114.203,4.0,0.539,0.082,0.001,0.2,1.927,0.01,0.464,0.379
2022-03-01 00:22:00,43255.0,43255.5,43257.5,43258.0,43258.5,43259.0,43259.5,43260.0,43262.0,43262.5,49.343,4.0,0.01,0.002,3.293,1.802,0.2,0.266,0.746,0.46,43254.5,43254.0,43252.0,43251.0,43250.5,43250.0,43249.5,43249.0,43248.5,43246.5,26.754,3.154,0.154,0.386,0.001,0.658,0.001,0.002,0.001,0.071
2022-03-01 00:23:00,43245.0,43245.5,43250.0,43251.0,43252.0,43252.5,43253.0,43254.5,43255.0,43256.5,22.932,4.0,0.011,0.116,0.01,0.697,0.2,3.293,0.526,0.2,43244.5,43244.0,43243.0,43242.5,43242.0,43241.5,43241.0,43240.5,43239.5,43239.0,86.32,3.116,0.424,0.484,1.126,0.745,1.059,1.898,1.26,0.071
2022-03-01 00:24:00,43274.0,43274.5,43275.0,43275.5,43276.0,43276.5,43277.0,43277.5,43278.0,43279.0,45.023,3.46,0.106,0.888,0.703,0.989,0.106,0.01,0.001,0.213,43273.5,43273.0,43272.5,43272.0,43271.5,43271.0,43270.5,43269.5,43269.0,43268.5,50.017,4.001,0.001,0.001,0.101,0.091,0.153,2.527,0.458,0.457
2022-03-01 00:25:00,43317.0,43317.5,43318.0,43319.0,43319.5,43320.0,43322.0,43324.0,43325.0,43326.0,3.401,3.0,0.001,0.044,0.376,9.634,0.116,0.1,0.04,3.293,43316.5,43316.0,43313.0,43311.5,43311.0,43310.5,43310.0,43309.0,43308.5,43308.0,67.257,4.0,0.221,0.329,0.366,1.472,0.945,1.278,1.367,0.2
2022-03-01 00:26:00,43354.5,43355.0,43356.0,43356.5,43357.0,43358.5,43359.0,43360.0,43362.5,43363.0,11.145,0.601,4.0,3.012,0.001,0.001,0.001,0.154,0.058,0.007,43354.0,43353.5,43351.5,43351.0,43350.5,43350.0,43349.5,43349.0,43348.0,43346.0,74.215,4.0,7.855,1.555,0.685,2.813,1.027,0.385,0.071,3.402
2022-03-01 00:27:00,43330.5,43331.0,43332.0,43336.0,43336.5,43337.0,43337.5,43338.0,43338.5,43339.0,57.71,4.0,1.811,0.431,3.286,1.25,0.166,0.813,0.64,1.725,43330.0,43329.5,43329.0,43328.0,43327.0,43326.5,43326.0,43325.5,43325.0,43324.5,28.665,4.0,0.06,0.001,0.116,2.334,0.372,0.401,0.899,1.102
2022-03-01 00:28:00,43371.5,43372.0,43372.5,43375.0,43375.5,43377.5,43378.0,43379.5,43380.0,43380.5,6.154,4.0,3.0,1.677,0.002,0.05,0.001,0.01,0.033,1.8,43371.0,43370.5,43370.0,43369.5,43369.0,43368.5,43368.0,43366.0,43365.5,43365.0,111.083,4.457,1.027,0.001,0.117,0.657,0.201,0.1,0.013,0.002
2022-03-01 00:30:00,43340.5,43341.0,43341.5,43342.0,43342.5,43343.0,43343.5,43345.0,43346.0,43346.5,98.12,3.192,0.871,0.489,0.226,0.302,1.768,0.115,0.233,0.45,43340.0,43339.0,43335.0,43333.0,43330.0,43329.5,43329.0,43328.0,43327.5,43326.5,0.207,0.001,0.001,0.05,0.581,0.001,0.061,0.001,0.005,0.008
2022-03-01 00:31:00,43325.5,43326.0,43328.0,43330.0,43330.5,43331.0,43331.5,43332.0,43332.5,43333.0,64.291,3.487,0.348,0.006,0.787,0.316,0.002,0.3,0.058,0.114,43325.0,43324.5,43321.0,43320.0,43319.0,43318.5,43318.0,43317.5,43317.0,43316.5,27.614,3.0,0.329,1.028,0.915,0.777,0.106,0.611,0.15,0.384
2022-03-01 00:32:00,43340.0,43340.5,43343.5,43344.0,43346.5,43347.0,43350.0,43350.5,43351.0,43352.0,21.529,4.0,0.01,0.001,3.379,1.026,0.03,0.001,0.116,0.221,43339.5,43339.0,43338.5,43338.0,43337.5,43337.0,43336.5,43334.5,43334.0,43332.5,53.837,4.768,0.712,0.13,0.862,1.472,0.652,0.346,0.281,3.462
2022-03-01 00:33:00,43437.0,43437.5,43438.0,43439.0,43440.0,43442.0,43443.5,43444.5,43445.0,43447.0,13.255,3.2,0.116,0.001,0.119,0.154,0.001,0.57,0.083,0.971,43436.5,43436.0,43435.5,43434.5,43433.0,43432.5,43432.0,43431.5,43431.0,43430.5,68.021,3.0,0.193,1.737,0.316,0.5,0.911,2.15,2.692,1.03
2022-03-01 00:34:00,43510.0,43510.5,43511.5,43512.0,43515.0,43516.0,43518.0,43518.5,43519.0,43520.0,103.734,4.2,0.456,0.95,0.002,0.001,0.348,3.536,0.02,0.115,43509.5,43508.0,43507.0,43506.5,43506.0,43502.0,43501.5,43500.5,43500.0,43499.5,8.968,0.378,4.544,0.736,0.721,0.004,0.323,0.5,3.002,1.588
2022-03-01 00:35:00,43501.5,43502.0,43503.5,43504.0,43505.0,43509.5,43510.0,43511.5,43513.0,43515.5,3.857,0.009,3.0,4.0,0.704,0.001,0.1,0.965,0.571,0.2,43501.0,43500.5,43500.0,43499.0,43498.5,43498.0,43497.5,43497.0,43496.5,43496.0,62.022,4.002,0.222,2.66,2.505,1.134,0.154,0.862,1.871,1.212
2022-03-01 00:36:00,43445.0,43445.5,43450.0,43452.5,43453.0,43455.5,43456.5,43457.0,43459.0,43460.0,10.308,4.354,0.001,0.546,0.02,0.29,0.6,0.424,0.775,0.191,43444.5,43444.0,43441.5,43440.0,43438.0,43437.5,43437.0,43436.0,43435.0,43434.0,77.53,3.23,0.115,0.07,3.278,1.808,0.023,0.377,1.612,1.007
2022-03-01 00:37:00,43457.5,43458.0,43459.5,43460.0,43462.0,43464.0,43464.5,43468.0,43469.5,43470.0,31.558,4.0,0.2,0.905,0.01,0.029,0.571,0.071,0.404,0.101,43457.0,43456.5,43456.0,43455.0,43454.0,43452.5,43452.0,43451.0,43450.0,43449.5,76.832,5.694,0.572,0.571,0.349,0.001,1.028,1.234,10.872,5.246
2022-03-01 00:38:00,43401.5,43402.0,43406.5,43410.0,43411.0,43412.0,43412.5,43413.5,43414.0,43415.0,25.029,3.0,1.069,0.001,0.916,0.501,0.2,3.29,0.699,0.033,43401.0,43400.5,43400.0,43399.5,43398.5,43398.0,43397.0,43396.5,43396.0,43395.5,72.958,3.001,0.182,0.001,0.346,2.955,0.745,0.911,2.186,0.13
2022-03-01 00:39:00,43426.0,43426.5,43427.5,43428.0,43429.5,43430.0,43431.5,43432.0,43432.5,43433.0,30.779,3.451,1.468,0.003,0.01,0.101,0.006,3.279,0.794,2.069,43425.5,43425.0,43423.0,43422.5,43422.0,43421.5,43421.0,43420.5,43420.0,43417.5,44.226,3.239,0.921,1.004,0.366,1.08,0.15,0.683,0.893,0.001
2022-03-01 00:41:00,43463.5,43464.0,43464.5,43467.0,43467.5,43468.0,43468.5,43469.0,43469.5,43470.0,65.016,4.024,0.699,1.032,0.746,0.406,2.257,1.001,0.983,0.757,43463.0,43462.5,43461.5,43460.5,43460.0,43459.5,43455.5,43455.0,43453.5,43453.0,33.535,4.001,0.13,0.208,0.366,0.001,0.001,0.021,0.201,0.306
2022-03-01 00:42:00,43451.5,43452.0,43452.5,43453.0,43453.5,43454.0,43454.5,43455.0,43455.5,43456.0,76.715,4.704,1.443,1.568,1.294,1.277,1.659,0.3,0.571,1.843,43451.0,43450.5,43450.0,43449.5,43449.0,43448.5,43448.0,43445.5,43444.0,43443.5,9.266,0.001,1.283,0.003,0.226,0.001,0.001,0.001,0.001,0.001
2022-03-01 00:43:00,43465.0,43465.5,43468.0,43470.0,43470.5,43471.5,43473.0,43473.5,43474.5,43475.0,50.326,3.033,0.115,0.001,0.115,0.2,2.76,1.43,1.608,0.002,43464.5,43464.0,43463.0,43462.5,43461.0,43459.5,43458.5,43458.0,43457.5,43457.0,36.352,4.411,0.039,0.3,0.116,0.001,0.201,0.001,0.9,0.911
2022-03-01 00:44:00,43515.0,43515.5,43516.5,43517.0,43518.0,43518.5,43520.0,43521.0,43521.5,43522.0,59.085,3.251,0.115,0.201,2.385,0.2,1.293,0.002,0.23,1.752,43514.5,43514.0,43513.5,43511.5,43506.5,43503.5,43502.5,43500.0,43499.0,43497.5,11.404,4.2,0.002,0.138,0.007,0.123,0.001,0.114,0.439,0.001
2022-03-01 00:45:00,43645.0,43646.5,43660.0,43662.0,43662.5,43663.0,43664.0,43665.0,43666.0,43667.0,0.959,3.0,0.2,0.75,6.908,0.007,0.105,0.029,1.057,0.116,43644.5,43643.0,43642.5,43642.0,43641.0,43640.0,43639.0,43638.0,43637.5,43637.0,0.114,0.197,0.046,0.138,0.099,0.227,0.128,0.227,1.349,0.099
2022-03-01 00:46:00,43540.0,43540.5,43541.0,43541.5,43542.0,43542.5,43543.0,43543.5,43545.5,43547.0,63.214,4.709,0.045,0.888,1.284,1.277,0.35,0.2,0.002,1.027,43539.5,43539.0,43538.0,43537.5,43537.0,43535.5,43535.0,43533.0,43532.0,43531.0,27.461,0.301,0.3,0.079,0.001,0.015,0.004,0.989,0.03,0.001
2022-03-01 00:47:00,43425.5,43426.0,43426.5,43427.0,43427.5,43428.0,43428.5,43429.5,43430.5,43431.0,77.073,4.527,1.084,0.295,0.066,1.509,1.042,0.67,1.207,0.101,43425.0,43424.5,43424.0,43423.5,43423.0,43422.5,43422.0,43421.5,43421.0,43420.5,11.677,3.001,0.007,0.018,0.003,0.001,0.002,0.002,0.027,0.002
2022-03-01 00:48:00,43352.5,43353.0,43353.5,43354.0,43354.5,43355.0,43355.5,43358.0,43359.0,43360.0,55.427,4.464,0.101,2.495,0.703,0.789,0.092,0.023,0.2,0.001,43352.0,43351.5,43350.0,43346.5,43346.0,43345.5,43345.0,43341.5,43341.0,43340.5,28.714,4.814,0.334,0.002,0.306,0.02,0.039,0.346,0.2,1.3
2022-03-01 00:49:00,43343.5,43345.0,43346.0,43349.5,43350.0,43354.5,43355.0,43358.5,43359.0,43359.5,2.294,0.432,0.025,0.456,0.013,1.0,0.571,0.762,0.571,0.403,43343.0,43342.5,43342.0,43341.5,43341.0,43340.5,43340.0,43339.0,43337.5,43337.0,59.178,5.028,0.945,0.171,1.278,1.472,5.846,0.207,0.145,0.001
2022-03-01 00:50:00,43400.0,43400.5,43401.5,43403.5,43404.0,43404.5,43405.5,43406.0,43407.0,43407.5,18.138,4.011,0.003,0.012,0.368,0.973,0.417,0.004,0.014,0.63,43399.5,43399.0,43398.0,43397.5,43396.5,43396.0,43395.5,43395.0,43394.5,43394.0,82.955,3.311,0.001,1.096,0.899,0.7,0.512,0.13,0.862,1.472
2022-03-01 00:52:00,43400.0,43400.5,43401.5,43403.0,43403.5,43404.0,43405.5,43406.0,43407.5,43408.5,59.347,4.011,0.003,1.017,0.021,0.368,0.01,0.004,0.2,3.281,43399.5,43399.0,43398.5,43398.0,43397.5,43397.0,43396.5,43396.0,43395.5,43395.0,40.662,3.052,0.001,0.746,0.498,0.331,4.318,1.434,1.065,0.004
2022-03-01 00:53:00,43419.5,43420.0,43422.0,43426.0,43427.5,43428.0,43429.5,43430.0,43430.5,43432.0,1.091,0.301,4.0,0.004,0.001,0.001,0.399,0.217,0.011,0.484,43419.0,43418.5,43418.0,43417.5,43415.5,43415.0,43414.0,43413.5,43413.0,43412.5,96.47,4.195,0.067,20.503,2.0,2.098,2.098,0.316,0.5,0.911
2022-03-01 00:54:00,43450.5,43451.0,43451.5,43452.5,43453.0,43453.5,43454.0,43454.5,43455.0,43455.5,83.854,5.28,0.007,0.01,0.404,2.668,0.99,2.793,0.303,1.425,43450.0,43449.5,43448.0,43442.0,43440.5,43440.0,43438.0,43437.5,43437.0,43436.5,8.954,3.0,0.039,1.854,0.443,0.241,0.001,0.001,0.01,0.071
2022-03-01 00:55:00,43520.5,43521.0,43522.0,43523.0,43523.5,43524.0,43524.5,43525.0,43525.5,43526.0,49.17,4.099,0.27,0.465,0.46,0.19,0.892,0.733,1.189,0.092,43520.0,43519.5,43515.5,43515.0,43514.5,43514.0,43512.5,43510.0,43509.5,43509.0,49.213,3.0,0.01,0.005,0.005,0.218,1.418,0.001,0.988,3.713
2022-03-01 00:56:00,43503.5,43504.0,43504.5,43507.5,43510.0,43516.0,43516.5,43519.0,43519.5,43520.0,8.126,3.0,0.636,0.065,0.372,0.2,0.012,0.571,0.2,0.16,43503.0,43502.5,43502.0,43501.5,43501.0,43500.5,43500.0,43499.0,43498.5,43498.0,57.128,3.5,0.512,0.13,0.862,1.472,1.904,3.448,0.2,1.001
2022-03-01 00:57:00,43500.0,43500.5,43503.5,43504.0,43504.5,43505.0,43506.0,43507.0,43507.5,43508.0,20.226,3.0,3.717,0.236,0.002,0.1,0.004,0.004,0.329,0.001,43499.5,43499.0,43498.0,43497.5,43497.0,43496.0,43495.5,43494.5,43494.0,43493.0,101.541,4.099,0.198,0.456,0.099,0.099,0.01,28.768,0.505,0.034
2022-03-01 00:58:00,43539.5,43540.0,43540.5,43541.0,43541.5,43542.0,43542.5,43543.0,43544.0,43544.5,63.963,7.103,3.31,1.001,2.443,0.641,0.953,2.172,0.686,0.201,43539.0,43533.5,43528.0,43525.5,43525.0,43524.5,43524.0,43523.5,43523.0,43522.5,27.851,0.219,2.303,0.414,0.001,0.207,0.01,0.335,0.915,1.005
2022-03-01 00:59:00,43540.0,43540.5,43541.5,43542.5,43543.5,43544.0,43545.0,43547.5,43548.0,43548.5,20.968,4.0,0.001,0.011,0.2,0.422,0.001,0.2,0.409,0.431,43539.5,43539.0,43538.5,43538.0,43537.5,43536.5,43536.0,43535.5,43534.5,43534.0,78.189,27.093,0.01,0.099,0.023,0.977,0.796,0.512,0.863,1.472
2022-03-01 01:00:00,43509.0,43509.5,43510.0,43513.0,43514.0,43514.5,43516.0,43516.5,43517.5,43520.0,17.187,4.0,0.001,0.4,0.613,0.002,0.787,0.004,0.05,0.001,43508.5,43508.0,43507.5,43506.0,43505.5,43505.0,43504.5,43504.0,43503.5,43503.0,77.017,3.0,0.207,0.366,1.08,0.899,0.095,1.278,1.477,0.509
2022-03-01 01:01:00,43618.0,43618.5,43619.0,43619.5,43620.0,43620.5,43621.5,43622.0,43623.0,43625.5,20.663,4.0,0.3,0.3,3.809,0.003,1.628,0.48,0.022,0.383,43617.5,43617.0,43614.0,43612.5,43605.0,43602.0,43601.5,43601.0,43600.5,43600.0,73.819,4.0,0.3,0.2,0.01,0.841,0.899,0.796,0.503,0.788
2022-03-01 01:03:00,43550.5,43551.0,43551.5,43553.0,43556.0,43556.5,43557.0,43558.5,43560.0,43560.5,46.748,3.115,0.005,2.005,0.009,0.673,0.456,0.474,1.178,1.273,43550.0,43549.5,43546.0,43544.0,43540.5,43540.0,43539.5,43538.0,43537.5,43537.0,15.021,0.009,0.445,0.044,0.921,0.07,0.475,0.02,0.301,0.207
2022-03-01 01:04:00,43492.0,43492.5,43493.5,43496.0,43496.5,43500.0,43500.5,43501.0,43502.0,43503.5,57.403,4.0,1.735,0.571,0.206,1.227,0.925,0.057,0.23,1.0,43491.5,43491.0,43490.5,43485.0,43483.5,43483.0,43482.5,43482.0,43481.5,43481.0,38.329,4.407,0.1,0.1,0.43,1.129,0.366,2.463,0.611,3.782
2022-03-01 01:05:00,43492.0,43492.5,43495.0,43500.0,43503.0,43503.5,43504.0,43505.0,43505.5,43506.0,16.922,3.0,0.009,0.642,0.01,1.0,0.115,3.273,0.571,0.004,43491.5,43491.0,43490.5,43490.0,43489.5,43489.0,43488.5,43488.0,43487.0,43486.0,56.738,4.828,0.296,0.221,1.062,1.472,0.826,0.426,0.375,0.003
2022-03-01 01:06:00,43522.0,43522.5,43523.0,43524.0,43525.0,43528.0,43528.5,43529.0,43529.5,43530.0,28.145,3.0,0.01,0.017,0.02,0.3,0.23,0.3,0.001,1.708,43521.5,43521.0,43519.5,43519.0,43517.0,43516.5,43516.0,43515.5,43515.0,43514.5,68.594,3.2,0.007,0.22,0.915,0.335,0.01,0.591,4.772,2.003
2022-03-01 01:07:00,43505.5,43506.0,43506.5,43507.5,43508.0,43509.0,43510.0,43510.5,43511.0,43512.0,83.16,5.166,2.343,0.006,0.915,0.685,0.1,0.686,0.577,2.965,43505.0,43504.5,43501.0,43500.0,43499.0,43497.0,43495.0,43494.0,43493.5,43493.0,22.233,3.0,0.325,0.396,0.001,0.115,0.501,0.001,0.207,0.628
2022-03-01 01:08:00,43446.5,43447.0,43450.0,43451.5,43457.5,43458.5,43459.0,43460.0,43460.5,43461.5,2.307,0.909,0.001,0.115,0.36,1.0,0.23,0.001,0.571,0.571,43446.0,43445.5,43445.0,43444.5,43444.0,43443.5,43442.0,43441.0,43440.5,43440.0,69.717,4.01,0.361,0.2,0.02,0.314,0.01,0.208,0.002,8.095
2022-03-01 01:09:00,43435.5,43436.0,43436.5,43437.0,43437.5,43438.0,43438.5,43440.5,43441.0,43441.5,88.403,3.662,0.99,1.163,0.489,0.983,0.302,1.806,0.357,0.002,43435.0,43434.5,43430.0,43428.0,43427.5,43426.5,43426.0,43425.0,43423.0,43422.5,2.518,0.456,0.001,0.074,0.001,0.046,0.006,0.007,0.292,0.001
2022-03-01 01:10:00,43428.0,43428.5,43429.0,43430.0,43430.5,43431.0,43432.5,43433.0,43433.5,43434.0,48.437,4.023,0.125,0.196,0.571,0.116,0.841,0.302,0.019,1.001,43427.5,43427.0,43425.0,43424.0,43422.5,43422.0,43421.0,43420.0,43419.0,43418.5,49.933,3.11,0.192,0.2,0.459,0.2,0.912,3.373,0.915,1.211
2022-03-01 01:11:00,43377.5,43378.0,43378.5,43379.0,43380.5,43381.0,43381.5,43382.0,43382.5,43383.0,98.612,13.681,3.541,2.777,3.739,0.346,0.571,1.027,3.458,0.01,43377.0,43372.5,43372.0,43371.5,43370.5,43370.0,43369.0,43368.5,43367.5,43367.0,0.246,0.023,0.088,0.582,0.001,0.099,0.01,0.11,0.001,0.212
2022-03-01 01:12:00,43383.5,43384.0,43384.5,43385.0,43385.5,43386.0,43386.5,43388.0,43388.5,43389.0,60.99,6.42,0.019,1.201,1.256,1.139,0.943,0.13,0.395,0.001,43383.0,43382.5,43382.0,43381.5,43380.5,43380.0,43377.5,43375.5,43374.5,43374.0,1.763,0.166,0.05,0.001,3.0,0.001,0.01,0.2,0.687,1.143
2022-03-01 01:14:00,43271.0,43271.5,43272.0,43272.5,43274.0,43274.5,43275.0,43275.5,43276.5,43277.0,5.887,0.023,4.0,4.01,0.03,0.027,1.214,0.498,0.01,0.116,43270.5,43270.0,43269.5,43269.0,43268.5,43268.0,43267.5,43266.5,43266.0,43265.5,56.881,4.149,0.108,0.45,1.075,1.616,0.507,0.55,0.321,0.011
2022-03-01 01:15:00,43260.5,43261.0,43262.5,43263.5,43264.0,43264.5,43265.0,43265.5,43266.0,43266.5,76.575,3.316,0.3,3.292,0.547,0.712,0.746,0.46,1.084,0.196,43260.0,43259.5,43251.5,43249.5,43247.5,43247.0,43246.5,43246.0,43245.0,43243.5,22.722,4.0,0.2,0.2,0.001,0.01,0.346,0.006,0.001,3.363
2022-03-01 01:16:00,43268.0,43268.5,43270.0,43270.5,43271.0,43271.5,43272.0,43272.5,43273.0,43273.5,38.546,3.474,1.187,1.144,1.024,0.803,0.87,1.61,0.673,0.116,43267.5,43267.0,43266.5,43266.0,43265.5,43265.0,43264.5,43264.0,43263.0,43262.5,42.31,4.367,0.001,0.002,0.01,0.573,0.456,1.818,0.346,0.664
2022-03-01 01:17:00,43260.5,43261.0,43261.5,43264.0,43265.0,43265.5,43266.0,43266.5,43267.0,43267.5,55.037,5.514,0.4,0.406,3.292,0.561,0.863,0.233,1.399,0.685,43260.0,43259.5,43255.0,43254.5,43254.0,43253.5,43253.0,43252.5,43252.0,43251.5,47.814,3.0,0.316,0.424,1.003,0.552,1.4,1.03,0.101,0.184
2022-03-01 01:18:00,43251.5,43252.0,43255.0,43257.5,43258.0,43259.0,43260.0,43260.5,43261.0,43262.0,18.891,3.0,0.005,0.285,0.542,0.116,0.401,2.718,1.059,0.661,43251.0,43250.5,43250.0,43249.0,43248.5,43247.5,43247.0,43246.5,43246.0,43245.5,95.071,5.076,0.018,0.131,0.514,0.099,0.745,0.693,0.512,0.229
2022-03-01 01:19:00,43290.0,43290.5,43291.0,43292.0,43292.5,43294.0,43295.0,43295.5,43296.0,43296.5,13.029,4.008,0.004,0.001,0.01,0.428,0.953,0.405,1.052,0.489,43289.5,43289.0,43288.5,43288.0,43285.5,43285.0,43284.5,43284.0,43282.0,43280.5,52.23,3.0,0.719,0.024,0.053,1.623,0.001,0.406,0.116,0.359
2022-03-01 01:20:00,43338.0,43338.5,43339.0,43340.0,43340.5,43341.0,43343.5,43344.0,43344.5,43345.0,46.658,4.023,0.089,0.401,0.1,0.2,0.009,0.002,0.04,0.235,43337.5,43337.0,43336.0,43332.0,43331.0,43330.5,43330.0,43329.0,43328.0,43327.5,55.824,4.0,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.2
2022-03-01 01:21:00,43338.0,43338.5,43339.0,43340.0,43340.5,43343.5,43344.0,43344.5,43345.0,43345.5,23.822,4.0,4.02,4.192,0.105,0.009,0.002,2.205,0.014,0.04,43337.5,43337.0,43335.0,43334.5,43334.0,43333.5,43333.0,43332.5,43332.0,43331.5,52.994,6.01,0.011,0.769,0.828,0.624,1.028,1.278,0.254,1.109
2022-03-01 01:22:00,43365.0,43365.5,43366.5,43367.0,43367.5,43368.0,43368.5,43369.0,43369.5,43370.5,100.801,4.023,1.001,0.834,4.549,0.609,0.851,0.025,0.564,0.76,43364.5,43364.0,43360.0,43358.0,43355.5,43355.0,43353.0,43352.5,43351.5,43351.0,11.51,4.0,0.107,0.008,0.108,0.148,1.0,0.001,0.1,0.004
2022-03-01 01:23:00,43319.5,43320.0,43320.5,43324.0,43324.5,43325.0,43325.5,43326.0,43326.5,43327.0,124.243,3.711,0.2,0.746,0.627,1.332,0.311,0.043,1.86,0.673,43319.0,43318.0,43317.5,43316.0,43314.0,43313.5,43311.0,43310.0,43308.0,43307.5,0.526,0.029,0.009,0.001,2.004,0.001,0.2,0.202,0.895,0.001
2022-03-01 01:25:00,43300.5,43301.0,43303.0,43303.5,43304.0,43305.5,43306.0,43308.0,43308.5,43310.0,62.095,4.523,0.123,0.115,1.799,0.001,0.002,3.289,0.571,0.001,43300.0,43299.5,43299.0,43298.5,43298.0,43297.5,43297.0,43296.5,43296.0,43295.5,16.257,3.135,0.106,0.391,1.059,1.416,0.507,0.007,0.078,1.618
