,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-02-27 06:49:00,38696.0,38696.5,38697.0,38697.5,38698.0,38698.5,38699.0,38699.5,38700.0,38700.5,63.394,10.179,0.91,2.51,2.834,15.605,6.396,9.815,61.072,6.17,38695.5,38695.0,38694.0,38693.0,38692.5,38692.0,38691.0,38690.0,38689.0,38688.5,0.431,0.02,0.105,0.1,1.0,0.052,0.02,0.032,0.005,2.222
2022-02-27 06:50:00,38679.5,38680.0,38681.0,38681.5,38682.5,38683.0,38683.5,38684.0,38684.5,38685.0,31.882,4.711,0.91,0.001,0.419,0.087,0.953,0.282,0.416,0.983,38679.0,38678.5,38678.0,38677.5,38677.0,38676.5,38676.0,38675.5,38675.0,38674.5,77.238,4.0,3.401,0.017,0.902,0.002,0.2,0.356,4.973,0.151
2022-02-27 06:51:00,38679.5,38680.0,38681.5,38682.5,38683.0,38683.5,38684.0,38684.5,38685.0,38685.5,9.035,0.881,0.001,0.267,0.652,0.851,1.163,0.226,0.983,1.225,38679.0,38678.5,38678.0,38677.5,38677.0,38676.0,38675.5,38675.0,38674.5,38674.0,91.013,4.15,2.01,0.017,0.731,0.414,0.356,5.315,0.221,0.07
2022-02-27 06:52:00,38679.5,38680.0,38681.5,38682.5,38684.5,38686.5,38687.5,38688.0,38688.5,38689.0,24.823,4.886,0.001,0.001,0.006,0.2,0.221,0.024,0.713,0.192,38679.0,38678.5,38678.0,38677.5,38677.0,38676.0,38675.5,38675.0,38674.5,38674.0,54.239,4.19,2.004,0.017,0.473,0.202,3.722,1.441,1.059,0.07
2022-02-27 06:53:00,38694.5,38695.0,38695.5,38696.0,38696.5,38697.0,38697.5,38699.0,38699.5,38700.0,53.288,4.633,0.091,0.89,0.703,0.789,0.092,0.401,1.879,59.913,38694.0,38692.5,38691.0,38690.0,38689.5,38686.0,38685.0,38684.0,38683.5,38683.0,6.634,1.645,0.005,0.52,0.264,0.001,0.278,0.001,0.258,0.232
2022-02-27 06:54:00,38694.5,38695.0,38696.0,38696.5,38697.5,38698.0,38698.5,38699.0,38699.5,38700.0,19.413,4.23,0.35,0.002,0.598,0.68,0.045,1.013,1.975,60.911,38694.0,38693.5,38693.0,38692.5,38691.5,38691.0,38690.5,38690.0,38689.5,38689.0,54.976,8.621,0.329,1.645,2.195,0.205,3.68,0.656,0.001,0.168
2022-02-27 06:55:00,38757.5,38758.0,38759.5,38760.5,38761.0,38761.5,38762.0,38762.5,38763.5,38764.0,67.413,4.0,0.619,0.099,0.01,0.098,0.001,0.51,0.128,0.011,38757.0,38756.5,38755.5,38754.5,38754.0,38753.5,38753.0,38752.5,38751.5,38751.0,43.202,4.838,0.129,1.0,0.2,0.2,0.129,0.011,0.51,0.001
2022-02-27 06:56:00,38799.0,38799.5,38800.0,38801.0,38801.5,38802.0,38802.5,38803.5,38804.0,38804.5,91.352,20.678,4.539,0.002,0.637,0.798,0.327,0.018,0.201,0.003,38798.5,38796.0,38795.0,38793.0,38792.5,38792.0,38791.0,38790.0,38789.5,38789.0,0.52,0.006,0.187,0.418,0.353,0.217,0.001,1.457,0.203,1.327
2022-02-27 06:57:00,38770.5,38771.0,38773.0,38773.5,38774.5,38775.0,38775.5,38776.0,38777.0,38778.0,50.917,4.248,0.416,0.277,19.097,0.061,0.006,0.595,0.589,1.129,38770.0,38769.5,38769.0,38768.5,38768.0,38767.5,38767.0,38766.5,38766.0,38765.5,2.89,0.885,0.052,0.2,0.02,0.01,0.05,0.644,1.789,0.745
2022-02-27 06:58:00,38750.5,38751.0,38751.5,38752.0,38753.0,38753.5,38754.0,38754.5,38755.0,38755.5,72.709,3.0,1.87,1.2,0.79,0.46,1.001,1.345,0.043,1.836,38750.0,38749.5,38749.0,38748.0,38747.0,38746.5,38746.0,38745.5,38745.0,38744.0,3.012,0.002,0.217,0.158,0.129,0.005,0.006,0.371,0.003,0.07
2022-02-27 07:00:00,38774.5,38775.0,38776.0,38776.5,38777.0,38778.5,38780.0,38781.0,38781.5,38783.0,25.712,3.082,0.001,0.01,0.011,0.02,0.06,0.001,0.002,0.001,38774.0,38773.5,38773.0,38772.5,38770.5,38770.0,38769.5,38769.0,38768.5,38768.0,80.224,4.117,0.637,1.907,1.275,0.926,2.139,0.677,0.13,0.745
2022-02-27 07:01:00,38795.0,38795.5,38796.0,38797.0,38797.5,38798.0,38798.5,38799.0,38799.5,38800.0,21.817,4.003,0.446,0.01,0.652,0.956,1.163,0.416,0.983,32.591,38794.5,38794.0,38792.5,38791.5,38791.0,38789.5,38789.0,38787.0,38786.0,38785.5,68.049,3.411,0.08,0.129,0.05,0.001,0.213,0.106,0.673,0.026
2022-02-27 07:02:00,38805.5,38806.0,38807.5,38808.5,38809.0,38809.5,38810.0,38810.5,38811.0,38812.0,54.699,3.2,0.663,1.188,0.703,0.789,0.847,0.404,0.4,0.015,38805.0,38804.5,38804.0,38803.5,38802.5,38802.0,38801.5,38801.0,38800.0,38799.5,56.24,4.837,0.018,0.513,0.143,3.749,1.992,1.44,1.021,2.299
2022-02-27 07:03:00,38805.5,38806.0,38806.5,38807.0,38807.5,38808.0,38808.5,38809.0,38810.0,38811.0,76.785,4.556,0.22,2.671,0.713,0.789,0.092,3.875,1.0,0.4,38805.0,38804.5,38804.0,38803.5,38802.5,38801.0,38800.0,38799.5,38799.0,38798.5,1.613,0.114,9.343,0.027,0.541,0.361,1.571,0.048,0.059,0.01
2022-02-27 07:04:00,38781.5,38782.0,38785.0,38790.5,38792.5,38793.0,38793.5,38794.0,38794.5,38795.0,27.23,4.0,0.03,0.863,0.129,0.298,0.46,0.515,0.888,1.549,38781.0,38780.5,38780.0,38779.5,38779.0,38777.5,38777.0,38776.5,38776.0,38775.5,44.585,3.276,0.217,2.847,0.281,1.216,1.997,2.845,1.132,1.384
