,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-03-03 00:02:00,43910.5,43911.0,43913.0,43913.5,43914.0,43915.0,43915.5,43916.0,43916.5,43917.0,123.794,3.023,0.985,1.678,0.114,0.667,0.087,0.99,1.303,0.416,43910.0,43909.5,43909.0,43907.5,43906.5,43905.0,43902.5,43900.0,43897.5,43897.0,24.038,0.022,0.004,3.0,0.015,0.006,0.001,0.365,0.001,2.148
2022-03-03 00:03:00,43830.0,43830.5,43833.0,43835.5,43836.0,43836.5,43837.5,43838.0,43838.5,43840.0,69.513,4.0,0.002,0.007,1.786,1.723,0.453,0.464,0.398,0.259,43829.5,43829.0,43828.0,43827.0,43826.5,43825.5,43824.5,43824.0,43822.5,43820.5,55.788,4.002,0.8,1.028,1.128,0.834,0.383,1.193,1.596,0.834
2022-03-03 00:04:00,43780.0,43780.5,43782.0,43782.5,43785.5,43786.5,43788.5,43789.0,43789.5,43790.0,116.288,4.023,0.443,0.342,0.46,0.03,1.473,1.473,1.552,0.001,43779.5,43779.0,43778.0,43777.0,43775.0,43774.0,43772.5,43770.5,43770.0,43769.5,28.515,4.0,0.002,0.001,0.001,2.386,0.118,0.002,0.002,0.453
2022-03-03 00:05:00,43793.0,43793.5,43795.0,43795.5,43797.5,43798.0,43798.5,43799.0,43799.5,43800.0,112.285,3.0,2.593,0.368,0.114,1.866,0.075,0.329,1.714,1.893,43792.5,43792.0,43791.5,43791.0,43790.5,43790.0,43789.5,43788.0,43787.5,43786.0,4.114,0.501,0.911,0.746,1.192,1.171,0.078,0.1,0.002,0.3
2022-03-03 00:06:00,43801.0,43801.5,43802.0,43802.5,43803.0,43804.0,43804.5,43805.0,43807.0,43808.0,106.26,3.023,0.031,2.273,1.727,2.34,1.225,0.143,0.3,1.245,43800.5,43800.0,43798.5,43798.0,43795.0,43793.0,43792.5,43792.0,43791.0,43790.0,3.979,0.138,3.019,3.0,0.001,0.08,0.995,2.393,0.121,0.091
2022-03-03 00:07:00,43780.0,43780.5,43781.0,43783.0,43784.5,43785.0,43785.5,43787.0,43787.5,43788.0,115.309,4.023,0.229,1.58,0.402,0.398,0.001,0.09,0.599,6.504,43779.5,43777.0,43776.5,43776.0,43775.5,43775.0,43774.5,43773.0,43772.5,43771.5,12.755,0.001,0.484,1.126,0.745,0.622,0.693,0.079,0.282,0.3
2022-03-03 00:08:00,43715.5,43717.0,43717.5,43720.0,43721.0,43724.0,43727.0,43728.0,43728.5,43729.0,8.378,4.2,3.0,0.001,0.004,0.222,0.01,0.2,0.004,3.372,43715.0,43714.5,43714.0,43713.5,43713.0,43712.5,43710.5,43710.0,43709.5,43709.0,61.306,3.0,0.022,0.059,0.062,0.002,0.371,0.366,0.961,0.946
2022-03-03 00:09:00,43745.0,43745.5,43746.0,43746.5,43749.0,43749.5,43750.0,43752.5,43753.5,43755.0,12.995,3.0,0.3,0.02,0.3,0.434,3.131,0.044,2.222,1.331,43744.5,43744.0,43742.5,43741.5,43741.0,43740.0,43739.5,43738.5,43738.0,43737.0,65.702,4.196,0.3,0.002,1.719,1.897,0.001,1.021,0.367,0.227
2022-03-03 00:10:00,43718.5,43719.0,43720.0,43720.5,43721.0,43721.5,43722.0,43722.5,43723.0,43723.5,117.488,4.138,3.793,0.46,0.322,0.888,0.703,0.789,0.192,0.114,43718.0,43715.0,43714.0,43712.5,43712.0,43711.0,43710.0,43709.0,43707.5,43705.0,3.631,0.13,0.022,0.001,0.003,0.052,0.03,0.006,0.001,0.202
2022-03-03 00:11:00,43690.5,43691.0,43691.5,43692.0,43692.5,43693.0,43693.5,43694.0,43694.5,43695.5,117.216,4.885,0.045,1.306,3.045,1.395,0.179,0.091,0.161,2.21,43690.0,43689.5,43686.5,43685.5,43685.0,43684.0,43683.0,43682.5,43682.0,43681.0,7.442,3.0,0.582,0.062,1.11,0.008,0.18,0.001,0.619,0.118
2022-03-03 00:13:00,43711.5,43712.0,43714.0,43714.5,43715.0,43715.5,43718.0,43718.5,43719.0,43719.5,116.414,4.0,0.002,3.261,1.52,1.118,0.01,2.27,0.313,0.196,43711.0,43710.5,43710.0,43709.0,43708.5,43708.0,43705.0,43703.5,43703.0,43702.5,23.668,3.0,0.214,0.001,0.003,0.005,0.001,2.059,0.01,0.001
2022-03-03 00:14:00,43698.5,43699.0,43700.0,43700.5,43701.0,43702.0,43703.5,43704.0,43704.5,43705.0,135.635,4.731,1.604,1.666,0.025,0.2,0.685,0.405,0.813,0.64,43698.0,43697.5,43697.0,43696.5,43696.0,43695.0,43694.0,43692.5,43690.0,43689.5,6.252,0.104,0.017,3.0,3.0,0.1,0.022,0.004,0.002,0.004
2022-03-03 00:15:00,43736.0,43736.5,43737.0,43737.5,43738.0,43738.5,43739.0,43739.5,43740.0,43740.5,70.659,4.192,0.966,0.499,0.226,3.558,1.367,0.106,0.221,0.213,43735.5,43735.0,43734.5,43732.0,43729.5,43728.5,43726.5,43726.0,43725.5,43725.0,38.445,12.927,0.563,0.317,0.567,0.189,0.161,0.567,1.191,0.301
2022-03-03 00:16:00,43777.0,43778.0,43780.0,43781.5,43782.5,43783.0,43783.5,43784.0,43784.5,43787.5,1.145,0.001,0.104,0.001,0.914,0.044,0.002,0.67,0.023,0.001,43776.5,43776.0,43775.5,43775.0,43774.5,43774.0,43773.5,43773.0,43772.5,43772.0,100.954,4.036,0.314,0.317,5.711,0.429,0.745,0.911,2.656,1.192
2022-03-03 00:17:00,43801.0,43802.0,43803.0,43805.0,43806.0,43806.5,43807.5,43808.0,43810.0,43811.5,0.64,0.006,0.001,0.148,0.003,0.05,0.537,0.104,0.001,0.663,43800.5,43800.0,43799.5,43799.0,43798.5,43798.0,43797.5,43797.0,43796.5,43796.0,135.562,7.453,6.248,2.836,0.945,0.002,0.372,8.384,6.277,1.245
2022-03-03 00:18:00,43812.0,43812.5,43813.0,43815.0,43816.0,43816.5,43817.0,43817.5,43818.0,43819.0,60.182,4.079,0.091,0.54,0.001,2.383,0.116,0.003,0.542,0.695,43811.5,43811.0,43810.5,43810.0,43809.0,43808.5,43806.5,43806.0,43805.0,43804.5,56.55,4.101,0.33,0.431,0.313,0.001,0.408,0.209,0.001,1.02
2022-03-03 00:19:00,43800.5,43801.0,43803.5,43804.0,43805.0,43806.0,43806.5,43807.0,43807.5,43808.0,120.115,4.023,0.002,1.789,0.02,0.681,0.045,0.813,0.64,1.277,43800.0,43799.5,43799.0,43798.0,43797.5,43797.0,43796.5,43796.0,43795.0,43794.5,29.842,3.307,0.001,0.002,0.001,0.002,0.002,0.001,0.02,0.453
2022-03-03 00:20:00,43816.5,43817.0,43817.5,43818.0,43819.0,43821.0,43821.5,43822.0,43822.5,43823.0,106.524,4.115,0.205,0.023,1.763,0.662,0.192,0.852,0.995,1.284,43816.0,43815.5,43812.5,43812.0,43811.5,43810.0,43808.5,43807.5,43806.5,43806.0,20.134,4.02,0.001,0.097,0.401,0.328,0.3,0.001,0.735,0.02
2022-03-03 00:21:00,43842.5,43843.0,43843.5,43844.0,43845.0,43845.5,43846.0,43847.0,43848.0,43848.5,27.422,3.17,0.192,0.286,0.009,0.035,0.037,0.559,0.023,0.001,43842.0,43841.5,43841.0,43837.0,43836.5,43836.0,43834.5,43834.0,43833.5,43833.0,91.693,4.0,0.327,1.777,1.133,1.5,1.247,0.715,2.302,0.511
2022-03-03 00:22:00,43842.5,43843.0,43843.5,43844.0,43845.0,43845.5,43846.0,43847.0,43847.5,43848.0,66.79,3.408,0.192,1.478,0.009,0.037,0.035,0.228,0.746,2.322,43842.0,43841.5,43833.5,43833.0,43832.5,43832.0,43831.5,43831.0,43830.5,43830.0,16.109,4.0,1.354,0.96,0.107,1.028,0.603,1.007,0.893,0.17
2022-03-03 00:24:00,43832.0,43832.5,43833.0,43834.0,43835.0,43835.5,43836.0,43836.5,43837.0,43837.5,69.175,3.236,0.205,0.332,0.427,2.551,0.266,2.167,0.888,1.163,43831.5,43831.0,43830.0,43829.0,43827.5,43826.5,43826.0,43825.0,43824.5,43822.5,33.322,3.002,0.23,0.001,0.311,0.001,0.568,0.001,0.379,0.001
2022-03-03 00:25:00,43806.0,43806.5,43807.0,43808.5,43809.0,43809.5,43810.0,43810.5,43811.0,43811.5,123.687,3.023,0.3,0.165,0.654,1.292,1.218,0.591,0.983,0.714,43805.5,43804.5,43804.0,43803.0,43802.0,43801.5,43800.0,43799.5,43797.5,43797.0,4.502,4.0,4.0,0.03,0.006,3.0,0.201,0.133,0.001,0.001
2022-03-03 00:26:00,43849.0,43849.5,43850.0,43853.0,43855.0,43855.5,43856.0,43856.5,43857.0,43858.0,18.637,0.005,0.09,0.037,0.386,0.001,2.234,0.001,0.164,0.051,43848.5,43848.0,43847.0,43846.0,43845.5,43845.0,43844.5,43844.0,43843.5,43843.0,108.294,4.0,0.088,0.351,0.101,3.287,1.69,0.781,1.586,1.607
2022-03-03 00:27:00,43849.0,43849.5,43850.0,43852.0,43853.0,43854.0,43855.0,43855.5,43856.0,43856.5,21.415,4.005,3.604,0.165,0.037,1.807,0.386,0.001,2.234,0.001,43848.5,43848.0,43847.5,43847.0,43846.5,43846.0,43845.5,43845.0,43844.5,43844.0,73.679,5.583,0.611,1.078,1.278,3.511,1.768,0.624,0.649,0.757
2022-03-03 00:28:00,43856.0,43856.5,43857.0,43857.5,43858.0,43858.5,43859.0,43860.0,43860.5,43861.0,47.374,4.789,0.823,0.282,0.385,0.962,0.066,0.044,1.981,0.1,43855.5,43855.0,43854.5,43853.5,43853.0,43852.0,43851.5,43851.0,43850.5,43850.0,87.689,3.0,0.939,3.283,0.002,8.0,0.303,0.314,0.154,0.015
2022-03-03 00:29:00,43856.5,43857.0,43858.0,43859.0,43860.0,43861.0,43861.5,43862.5,43863.0,43864.0,0.347,0.071,0.165,0.013,0.376,0.1,0.05,0.003,0.336,0.137,43856.0,43855.5,43855.0,43854.5,43853.0,43852.0,43851.5,43851.0,43850.5,43850.0,127.512,7.931,3.426,0.565,1.247,0.003,3.691,0.912,0.654,1.995
