,open,high,low,close,volume
2022-02-27 06:49:00,38699.5,38700.0,38699.5,38699.5,4.244
2022-02-27 06:50:00,38699.5,38700.0,38679.0,38679.5,14.464
2022-02-27 06:51:00,38679.5,38679.5,38679.0,38679.0,4.158
2022-02-27 06:52:00,38679.0,38679.5,38679.0,38679.5,7.15
2022-02-27 06:53:00,38679.5,38694.5,38679.0,38694.5,8.99
2022-02-27 06:54:00,38694.5,38694.5,38694.0,38694.0,3.794
2022-02-27 06:55:00,38694.0,38768.0,38694.0,38767.0,168.328
2022-02-27 06:56:00,38767.0,38883.5,38757.0,38811.5,553.19
2022-02-27 06:57:00,38811.5,38811.5,38770.0,38770.0,80.917
2022-02-27 06:58:00,38770.0,38770.5,38751.0,38751.5,25.486
2022-02-27 07:00:00,38744.5,38766.0,38744.0,38766.0,54.662
2022-02-27 07:01:00,38766.0,38796.0,38766.0,38795.0,56.383
2022-02-27 07:02:00,38795.0,38817.0,38794.5,38805.5,96.143
2022-02-27 07:03:00,38805.5,38805.5,38805.0,38805.0,43.217
2022-02-27 07:04:00,38805.0,38805.5,38780.0,38781.5,34.576
2022-02-27 07:05:00,38781.5,38781.5,38781.0,38781.5,17.737
2022-02-27 07:06:00,38781.5,38781.5,38773.0,38773.0,34.291
2022-02-27 07:07:00,38773.0,38773.5,38752.0,38752.0,20.301
2022-02-27 07:08:00,38752.0,38752.0,38731.5,38731.5,29.873
2022-02-27 07:09:00,38731.5,38732.0,38731.5,38732.0,12.877
2022-02-27 07:11:00,38732.0,38732.0,38731.5,38732.0,9.43
2022-02-27 07:12:00,38732.0,38732.0,38731.5,38731.5,18.952
2022-02-27 07:13:00,38731.5,38731.5,38726.5,38727.0,39.312
2022-02-27 07:14:00,38727.0,38732.0,38726.5,38731.5,25.718
2022-02-27 07:15:00,38731.5,38732.0,38731.5,38731.5,17.923
2022-02-27 07:16:00,38731.5,38732.0,38731.5,38731.5,7.995
2022-02-27 07:17:00,38731.5,38732.0,38731.5,38732.0,23.645
2022-02-27 07:18:00,38732.0,38732.0,38731.5,38731.5,4.139
2022-02-27 07:19:00,38731.5,38772.5,38731.5,38763.5,67.23
2022-02-27 07:20:00,38763.5,38775.0,38763.0,38775.0,22.376
2022-02-27 07:22:00,38775.0,38786.0,38774.5,38785.5,9.541
2022-02-27 07:23:00,38785.5,38790.0,38785.5,38789.5,23.73
2022-02-27 07:24:00,38789.5,38815.0,38789.5,38815.0,29.822
2022-02-27 07:25:00,38815.0,38815.0,38809.0,38809.0,25.027
2022-02-27 07:26:00,38809.0,38809.5,38805.0,38805.0,15.95
2022-02-27 07:27:00,38805.0,38805.0,38791.0,38791.5,15.446
2022-02-27 07:28:00,38791.5,38791.5,38783.0,38783.5,12.078
2022-02-27 07:29:00,38783.5,38783.5,38772.0,38772.0,7.9
2022-02-27 07:30:00,38772.0,38772.5,38771.0,38771.0,5.141
2022-02-27 07:31:00,38771.0,38771.5,38745.0,38746.0,38.299
2022-02-27 07:33:00,38745.5,38765.0,38745.5,38765.0,9.064
2022-02-27 07:34:00,38765.0,38784.0,38764.5,38784.0,16.667
2022-02-27 07:35:00,38784.0,38793.0,38784.0,38785.0,10.808
2022-02-27 07:36:00,38785.0,38795.0,38784.5,38795.0,10.308
2022-02-27 07:37:00,38795.0,38799.0,38794.5,38795.5,22.713
2022-02-27 07:38:00,38795.5,38800.0,38795.5,38800.0,14.557
2022-02-27 07:39:00,38800.0,38800.0,38799.5,38800.0,18.109
2022-02-27 07:40:00,38800.0,38800.0,38799.5,38799.5,5.225
2022-02-27 07:41:00,38799.5,38800.0,38799.5,38800.0,5.376
2022-02-27 07:42:00,38800.0,38800.0,38799.5,38799.5,4.398
2022-02-27 07:44:00,38800.0,38800.0,38799.5,38799.5,2.498
2022-02-27 07:45:00,38799.5,38800.0,38799.5,38800.0,8.26
2022-02-27 07:46:00,38800.0,38800.0,38799.5,38799.5,12.22
2022-02-27 07:47:00,38799.5,38800.0,38771.5,38771.5,36.512
2022-02-27 07:48:00,38771.5,38771.5,38764.5,38765.0,23.427
