,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9
2022-02-28 00:07:00,37725.5,37726.0,37726.5,37728.0,37728.5,37729.0,37730.0,37730.5,37731.5,37733.5,69.488,3.0,0.529,0.2,0.2,0.194,0.133,5.099,0.398,0.098,37725.0,37724.5,37724.0,37722.0,37720.0,37719.5,37718.5,37717.0,37716.0,37715.0,26.51,4.05,0.007,0.003,0.021,0.019,0.035,0.679,0.134,1.329
2022-02-28 00:08:00,37717.0,37717.5,37718.5,37719.0,37719.5,37720.0,37720.5,37721.5,37724.5,37726.0,107.024,4.778,0.911,2.342,1.277,0.35,8.565,0.159,12.814,0.133,37716.5,37715.0,37714.5,37714.0,37712.5,37711.0,37710.5,37710.0,37709.5,37708.5,4.957,0.549,3.003,0.002,0.001,0.007,0.003,0.001,0.052,0.2
2022-02-28 00:09:00,37695.0,37696.0,37697.0,37700.0,37702.0,37705.0,37705.5,37706.0,37707.0,37707.5,6.842,0.25,0.003,0.294,0.133,0.011,2.076,0.001,0.013,0.452,37694.5,37694.0,37692.5,37692.0,37691.5,37691.0,37690.0,37689.5,37688.5,37688.0,81.399,4.749,0.899,1.434,0.512,0.564,0.231,0.098,0.352,0.432
2022-02-28 00:10:00,37666.0,37666.5,37667.0,37667.5,37668.0,37670.0,37670.5,37672.0,37672.5,37673.0,71.93,4.0,0.426,3.781,1.958,0.027,1.196,0.529,0.271,4.8,37665.5,37665.0,37664.0,37663.5,37663.0,37661.5,37661.0,37660.5,37660.0,37659.5,35.669,3.479,0.001,0.138,0.019,5.557,0.003,0.022,1.294,1.434
2022-02-28 00:11:00,37662.0,37664.0,37664.5,37665.0,37666.0,37669.0,37670.0,37671.0,37671.5,37672.5,11.16,1.75,4.0,2.322,0.238,0.354,0.028,0.011,0.006,0.079,37661.5,37661.0,37660.0,37659.5,37659.0,37658.0,37656.5,37654.5,37654.0,37653.5,61.075,4.0,0.026,0.2,0.398,0.341,2.857,1.758,1.004,0.732
2022-02-28 00:12:00,37721.5,37722.0,37722.5,37723.0,37724.0,37724.5,37725.0,37726.0,37727.5,37730.0,9.993,0.003,3.0,4.0,0.001,0.045,0.111,1.857,0.005,0.559,37721.0,37720.5,37717.0,37716.5,37715.5,37715.0,37714.5,37714.0,37713.5,37712.5,74.686,3.0,0.011,2.087,0.098,0.133,0.196,0.96,1.696,1.177
2022-02-28 00:13:00,37685.0,37685.5,37686.0,37686.5,37687.0,37687.5,37688.0,37689.0,37691.0,37692.0,72.177,4.318,0.045,1.084,1.382,1.287,0.35,0.396,3.025,0.234,37684.5,37682.5,37680.0,37678.0,37676.0,37675.0,37674.0,37673.0,37672.5,37672.0,0.103,0.009,0.001,0.662,5.074,1.629,0.001,0.003,0.2,0.001
2022-02-28 00:14:00,37688.5,37689.0,37689.5,37691.5,37692.5,37693.0,37693.5,37694.0,37694.5,37695.0,95.535,3.0,0.194,0.481,0.746,7.775,0.282,1.001,0.834,2.224,37688.0,37687.5,37687.0,37686.5,37684.5,37682.5,37680.0,37679.5,37678.5,37678.0,11.447,4.0,4.002,0.001,0.05,0.001,1.623,0.529,0.529,0.076
2022-02-28 00:15:00,37740.0,37740.5,37742.5,37744.5,37745.0,37746.0,37746.5,37747.0,37747.5,37748.0,18.479,4.0,1.753,0.746,2.466,0.91,0.845,0.641,3.445,0.064,37739.5,37739.0,37738.5,37736.0,37735.5,37735.0,37734.0,37733.5,37732.5,37732.0,56.571,4.0,0.001,0.398,0.2,0.2,0.662,0.068,0.068,0.144
2022-02-28 00:16:00,37740.0,37740.5,37741.0,37741.5,37742.0,37742.5,37743.0,37743.5,37744.0,37745.5,61.094,5.405,0.045,0.888,1.284,4.529,0.55,0.011,3.236,3.871,37739.5,37739.0,37738.5,37735.0,37734.5,37733.0,37732.0,37731.5,37730.0,37729.0,45.618,3.0,0.027,0.001,0.2,0.05,0.002,0.488,0.004,0.332
